"","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL","MLL"
"AFFX-PheX-3_at",6.61176256006487,7.467605550083,3.32192809488736,7.51569983828404,7.60733031374961,7.57742882803575,7.86418614465428,8.13955135239879,8.15987133677839,3.32192809488736,7.39231742277876,7.55458885167764,6.33985000288462,8.43462822763673,8.87958324961278,6.89481776330794,7.11894107272351,3.32192809488736,8.01680828768655,7.82017896241519,6.53915881110803,6.16992500144231,6.53915881110803,7.03342300153745,5.8073549220576,3.32192809488736,3.32192809488736,7.13955135239879,7.59245703726808,6.84549005094437,6.20945336562895,3.58496250072116,3.32192809488736,6.65821148275179,3.32192809488736,6.98868468677217,7.49185309632967,3.32192809488736,7.21916852046216,3.32192809488736,3.32192809488736,3.32192809488736,8.25266543245025,4.32192809488736,3.32192809488736,3.58496250072116,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,4.16992500144231,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.93073733756289,3.32192809488736,5.04439411935845,6.98868468677217,3.32192809488736,6.83289001416474,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736
"AFFX-HUMISGF3A/M97935_5_at",9.46332001105809,7.4594316186373,3.32192809488736,4.70043971814109,9.71596199025514,6,5.24792751344359,3.32192809488736,3.32192809488736,3.32192809488736,5.97727992349992,3.32192809488736,9.73640193131829,3.32192809488736,3.32192809488736,3.32192809488736,7.11894107272351,3.90689059560852,4.64385618977472,9.876516946565,5.8073549220576,6.24792751344359,7.07681559705083,3.8073549220576,4.39231742277876,6.75488750216347,6.49185309632967,4.64385618977472,3.32192809488736,3.32192809488736,5.16992500144231,4.58496250072116,4.4594316186373,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.58496250072116,6.95419631038687,3.32192809488736,8.09275714091985,3.32192809488736,7.96000193206808,5.4594316186373,3.32192809488736,7.16992500144231,8.01680828768655,3.32192809488736,6.82017896241519,9.84077792359505,6.33985000288462,4.52356195605701,5.08746284125034,5.64385618977472,3.32192809488736,7.29462074889163,8.40087943628218,7.29462074889163,7.51569983828404,8.58120058192496,11.5117526537674,9.69696752623429,9.15734693536284,8.40087943628218,6.75488750216347,10.2842457498297,7.27612440527424,8.70390357344466,4.32192809488736,3.32192809488736,3.32192809488736,6.20945336562895
"AFFX-HUMRGE/M10098_5_at",6.47248777146274,3.32192809488736,8.66888498426625,3.32192809488736,3.32192809488736,3.32192809488736,6.58496250072116,9.33762190199251,3.32192809488736,3.32192809488736,3.32192809488736,7.4093909361377,6.85798099512757,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.5077946401987,3.32192809488736,3.32192809488736,6.98868468677217,3.32192809488736,7.24792751344359,7.66533591718518,8.4262647547021,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,13.9657842846621,3.70043971814109,3.32192809488736,7.29462074889163,3.32192809488736,10.9248125036058,8.4178525148859,3.32192809488736,3.32192809488736,7.70043971814109,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.33985000288462,7.52356195605701,7.876516946565,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.08746284125034,7,9.61102479730735,10.4262647547021,7.59991284218713,3.32192809488736,3.32192809488736,8.35314682549808,3.32192809488736,7.72109918870718,9.16490692667569,3.32192809488736,6.8703647195834,10.9359016822676,3.32192809488736,3.32192809488736
"AFFX-HUMRGE/M10098_M_at",5.57893871309339,3.32192809488736,7.85174904141606,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.8073549220576,8.40514146313634,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,13.5004684629531,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,10.4470832262097,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.35755200461808,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.39231742277876,3.32192809488736,3.32192809488736
"AFFX-HUMTFRR/M11507_M_at",8.211888294546,6.55458885167764,8.29001884693262,3.32192809488736,7.13955135239879,3.32192809488736,7.44294349584873,8.97154355395077,3.32192809488736,3.8073549220576,3.32192809488736,6.44294349584873,7.06608919045777,4.08746284125034,3.32192809488736,3.32192809488736,8.36632221424582,3.32192809488736,6.33985000288462,3.32192809488736,8.5274770060604,3.32192809488736,3.32192809488736,3.4594316186373,4.52356195605701,5.16992500144231,5.8073549220576,3.32192809488736,3.58496250072116,5.78135971352466,5,3.32192809488736,3.32192809488736,3.32192809488736,6.95419631038687,6.55458885167764,6.58496250072116,4.32192809488736,7.6724253419715,3.32192809488736,7.31288295528436,7.17990909001493,4.85798099512757,3.32192809488736,11.0292872269682,9.07146236255662,3.32192809488736,6.14974711950468,7.60733031374961,10.2033480029798,7.876516946565,3.32192809488736,9.49785183695112,3.32192809488736,3.32192809488736,11.2288186904959,10.3342732853072,7.3037807481771,7.92481250360578,8.64745842645492,11.1312139050863,9.66711154207503,9.96434086779242,8.18487534290828,3.32192809488736,11.2679570844028,10.237209960755,11.3241805466187,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736
"AFFX-M27830_5_at",12.7876781408425,8.30833903013941,13.9657842846621,5.28540221886225,7.6724253419715,8.27146302790437,6,7.01122725542325,5.95419631038687,7.96578428466209,7.91288933622996,7.02236781302845,8.97441458980553,6.71424551766612,3.32192809488736,3.32192809488736,8.36632221424582,6.96578428466209,6.74146698640115,7.70735913208088,10.9151324489507,3.32192809488736,10.6591039634737,12.0844762374539,11.3896313392605,9.71252700043982,8.15987133677839,5.97727992349992,4.52356195605701,13.6737507394381,8.91886323727459,8.28540221886225,5.04439411935845,7.82654848729092,13.3141583598533,8.97727992349992,3.32192809488736,6.56985560833095,11.5665297826242,8.75822321472672,8.44294349584873,3.32192809488736,5.97727992349992,6.79441586635011,7.72109918870718,8.2045711442492,6.3037807481771,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.83920378809694,8.32192809488736,6.28540221886225,9.05528243550119,6.32192809488736,9.54109661534952,10.7838167593202,8.8008998999203,7.65821148275179,5,7.83289001416474,4.16992500144231,8.18487534290828,8.89784545600551,8.95128471496697,8.4093909361377,9.86573327085176,9.07948478382682,7.63662462054365
"31312_at",3.32192809488736,8.17990909001493,3.32192809488736,5.08746284125034,7.51569983828404,6.12928301694497,5.08746284125034,6.64385618977472,3.32192809488736,3.32192809488736,7.08746284125034,6.35755200461808,3.32192809488736,7.36632221424582,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.59991284218713,3.32192809488736,3.32192809488736,6.16992500144231,7.12928301694497,7.3037807481771,3.32192809488736,6.44294349584873,8.01680828768655,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5,5.78135971352466,3.32192809488736,5.20945336562895,3.32192809488736,3.32192809488736,3.32192809488736,7.20945336562895,6.8703647195834,6.08746284125034,3.32192809488736,6.97727992349992,6.84549005094437,7.52356195605701,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7,6.70043971814109,7.467605550083,7.83920378809694,6.91886323727459,7.4594316186373,3.32192809488736,7.56224242422107,6.98868468677217,7.91886323727459,7.4093909361377,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.85798099512757,6.06608919045777,3.32192809488736,7.33985000288462,3.32192809488736,3.32192809488736,7.49984588708321
"31314_at",7.12412131182919,5.35755200461808,3.32192809488736,6.88264304936184,7.86418614465428,6.2667865406949,6.53915881110803,7.3037807481771,6.18982455888002,8.31741261376487,7.48381577726426,3.32192809488736,6.06608919045777,8.97154355395077,3.32192809488736,6.20945336562895,7.4178525148859,5.97727992349992,7.74146698640115,8.01680828768655,3.32192809488736,3.32192809488736,3.32192809488736,5.85798099512757,8.17990909001493,7.65821148275179,7.64385618977472,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.58496250072116,7.90689059560852,8.65105169117893,3.32192809488736,5.61470984411521,7.4594316186373,3.32192809488736,7.38370429247405,7.51569983828404,3.32192809488736,3.32192809488736,6.82017896241519,7.21916852046216,3.32192809488736,5.75488750216347,7.35755200461808,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.12928301694497,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.21916852046216,3.32192809488736,3.32192809488736,3.32192809488736,8.16490692667569,3.32192809488736,7.71424551766612,3.32192809488736,3.32192809488736,3.32192809488736,6.49185309632967,3.58496250072116,5.04439411935845,3.32192809488736,6,3.32192809488736
"31315_at",4.98185265328974,12.1680452682241,8.96000193206808,3.32192809488736,5.24792751344359,10.0195907283579,3.32192809488736,9.20701432017753,5.4262647547021,3.32192809488736,3.32192809488736,6.55458885167764,12.4985999287703,9.75822321472672,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,10.4481163054095,3.32192809488736,10.6960981709559,10.3944626946103,3.32192809488736,3.32192809488736,3.32192809488736,7.94836723158468,3.32192809488736,3.32192809488736,6.52356195605701,3.32192809488736,3.32192809488736,3.32192809488736,8.04439411935845,3.32192809488736,3.32192809488736,9.34207466799914,3.32192809488736,3.32192809488736,9.14720492494223,3.32192809488736,3.32192809488736,11.1767964781476,3.32192809488736,11.3420746679991,3.32192809488736,3.32192809488736,9.19721669311005,3.32192809488736,3.32192809488736,8.12928301694497,3.32192809488736,9.78953364497036,3.32192809488736,3.32192809488736,11.9574648468052,9.9614496943982,9.34651373316563,7.39231742277876,3.32192809488736,10.2761244052742,3.32192809488736,9.25502856981873,11.4640351521899,3.32192809488736,11.6895612542855,9.38586240064146,6.65821148275179,10.7615512324445,8.27612440527424,11.3037807481771,7.22881869049588
"31319_at",3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.28540221886225,5.75488750216347,3.32192809488736,4.75488750216347,4.32192809488736,4.8073549220576,3.32192809488736,3.70043971814109,8.27612440527424,3.32192809488736,4.70043971814109,3.32192809488736,6,3.32192809488736,3.32192809488736,8.62935662007961,3.32192809488736,6.55458885167764,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.08746284125034,3.32192809488736,6.94251450533924,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.93073733756289,3.32192809488736,4.75488750216347,3.32192809488736,6.53915881110803,5.16992500144231,6.74146698640115,3.32192809488736,7.78135971352466,3.32192809488736,8.48381577726426,7.21916852046216,7.01122725542325,8.45532722030456,6.52356195605701,5.52356195605701,8.14465824283188,3.70043971814109,7.01122725542325,3.32192809488736,6.8073549220576,9.1006623390052,8.34429590791582,8.17492568250068,3.32192809488736,3.32192809488736,3.32192809488736,7.93663793900257,7.86418614465428,7.53915881110803,8.21431912080077,9.85642552862553,9.24079133216196,5.28540221886225,3.32192809488736,3.32192809488736,9.58120058192496,3.32192809488736
