"","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","DLBCL","FL","FL","FL","FL","FL","FL","FL","FL","FL","FL","FL","FL","FL","FL","FL","FL","FL","FL","FL"
"AFFX-BioB-5_st",3.32192809488736,7.20945336562895,3.32192809488736,7.4262647547021,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.49185309632967,3.32192809488736,6.58496250072116,3.32192809488736,3.32192809488736,3.32192809488736,8.33539035469392,5.39231742277876,6.84549005094437,7.07681559705083,3.32192809488736,6.65821148275179,3.32192809488736,7.33091687811462,7.44294349584873,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.52356195605701,3.32192809488736,3.32192809488736,7.8703647195834,8.93957921431469,7.23840473932508,3.32192809488736,7.84549005094437,4.85798099512757,3.32192809488736,6.71424551766612,3.32192809488736,3.32192809488736,6.4093909361377,8.22881869049588,10.1163439612375,3.32192809488736,7.94251450533924,3.32192809488736,3.32192809488736,7.15987133677839,8.7714894695006,7.93663793900257,3.32192809488736,4.08746284125034,3.32192809488736,7.40087943628218,3.32192809488736,3.32192809488736,6.93073733756289,3.32192809488736,3.32192809488736,7.79441586635011,3.32192809488736,3.32192809488736,8.12928301694497,3.32192809488736,6.90689059560852,8.02790599656988,8.35314682549808,7.33985000288462,7.84549005094437,7.72109918870718,3.32192809488736,6.44294349584873,9.60917873814198,3.32192809488736
"AFFX-BioDn-5_st",7.15987133677839,7.97154355395077,3.32192809488736,3.32192809488736,6.96578428466209,5.24792751344359,6.12928301694497,3.32192809488736,7.85798099512757,8.2667865406949,8.13955135239879,7.62205181945638,3.32192809488736,8.44294349584873,3.32192809488736,7.68650052718322,3.32192809488736,3.32192809488736,4,3.32192809488736,7.18982455888002,3.32192809488736,3.32192809488736,6.14974711950468,3.32192809488736,3.32192809488736,7.2667865406949,3.32192809488736,7.16992500144231,7.98868468677217,8.18487534290828,6.78135971352466,5.83289001416474,6.62935662007961,9.07146236255662,4.75488750216347,3.32192809488736,7.84549005094437,9.08746284125034,3.32192809488736,3.32192809488736,4.85798099512757,7,6.76818432477693,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.38370429247405,5.08746284125034,8.49185309632967,3.32192809488736,6.8703647195834,6.85798099512757,3.32192809488736,3.32192809488736,8.91288933622996,3.32192809488736,7.31288295528436,8.6724253419715,11.3258675805754,3.32192809488736,3.32192809488736,3.32192809488736,6.20945336562895,3.32192809488736,7.02236781302845,5.4262647547021,6.44294349584873,3.32192809488736,8.30833903013941,3.32192809488736,3.32192809488736,5.55458885167764
"AFFX-PheX-3_at",6.82017896241519,3.32192809488736,4.85798099512757,7.4757334309664,6.06608919045777,5.20945336562895,3.32192809488736,3.32192809488736,3.32192809488736,5.97727992349992,3.32192809488736,5.78135971352466,3.32192809488736,7.90086680798075,7.45121111183233,5.52356195605701,7.37503943134692,3.32192809488736,6.16992500144231,4.32192809488736,7.10852445677817,3.32192809488736,6.16992500144231,7.03342300153745,3.32192809488736,6.6724253419715,3.32192809488736,4.52356195605701,5.24792751344359,3.32192809488736,6.44294349584873,3.32192809488736,6.58496250072116,6.16992500144231,8.36632221424582,3.32192809488736,5.93073733756289,3.32192809488736,8.61470984411521,3.32192809488736,5.70043971814109,4.39231742277876,5.97727992349992,5.88264304936184,3.32192809488736,3.32192809488736,8.16992500144231,7.15987133677839,3.32192809488736,6.64385618977472,5.58496250072116,5,6.37503943134692,7.91886323727459,6.56985560833095,6.7279204545632,6.12928301694497,7.03342300153745,5.6724253419715,3.32192809488736,7.7279204545632,3.32192809488736,6.24792751344359,3.32192809488736,7.20945336562895,3.8073549220576,3.32192809488736,7.40087943628218,3.32192809488736,6.96578428466209,5.55458885167764,4.58496250072116,5.08746284125034,6.59991284218713,4.70043971814109,3.58496250072116,5.85798099512757
"AFFX-HUMISGF3A/M97935_MA_at",8.58496250072116,3.32192809488736,8.93957921431469,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,10.7013064619586,8.8073549220576,3.58496250072116,3.32192809488736,3.32192809488736,9.4241662888181,3.32192809488736,7.13955135239879,8.18487534290828,3.32192809488736,9.33985000288462,9.99859042974533,8.37503943134693,3.32192809488736,7.20945336562895,6.76818432477693,3.32192809488736,8.14974711950468,10.0701209444768,3.32192809488736,11.9858419370033,3.32192809488736,11.2197735508929,5.8073549220576,3.32192809488736,3.32192809488736,8.48784003382305,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.98013957763916,10.3509391815464,6.33985000288462,10.4614794472862,3.32192809488736,11.5507467853832,4.39231742277876,3.32192809488736,8.93369065495223,4.8073549220576,12.0774833568595,7.90689059560852,9.91587937883577,12.2494097852691,9.72962074355304,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,10.3674147512468,8.96289600533726,7.44294349584873,8.02790599656988,9.10590850857116,7.70735913208088,8.74483383749955,8.02236781302845,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.62935662007961
"AFFX-HUMRGE/M10098_5_at",4.39231742277876,10.7976615258538,10.5038257379958,13.5266214962479,11.6865005271832,9.6724253419715,9.84862294042934,4.58496250072116,9.96434086779242,11.4141566792741,9.5352753766208,10.1318569606088,7.54689445988764,8.36194377373524,7.59245703726808,3.32192809488736,4.24792751344359,5.6724253419715,6.37503943134692,3.32192809488736,10.5943246039248,3.32192809488736,6.62935662007961,3.32192809488736,3.90689059560852,3.32192809488736,7.13955135239879,7.79441586635011,8.21431912080077,11.8447057644119,8.25266543245025,10.2455527062557,8.07681559705083,3.32192809488736,7.4093909361377,8.90086680798075,6.91886323727459,7.49984588708321,7.70735913208088,6.16992500144231,3.32192809488736,3.32192809488736,3.32192809488736,7.31288295528436,5.39231742277876,3.32192809488736,5.52356195605701,3.32192809488736,3.32192809488736,7.51569983828404,7.09803208296053,3.32192809488736,3.32192809488736,6.8703647195834,3.32192809488736,12.2764152418927,13.9657842846621,11.3624918060461,6.71424551766612,9.45738087907253,11.7698378436294,11.9992953870234,3.32192809488736,3.32192809488736,10.5038257379958,3.32192809488736,12.0508689632907,7.74819284958946,10.8834069863884,7.19967234483636,3.32192809488736,3.32192809488736,3.32192809488736,11.2801907922169,13.3295160672065,3.32192809488736,8.5352753766208
"AFFX-HUMRGE/M10098_M_at",3.32192809488736,7.98868468677217,10.3128829552844,13.2881451231534,11.5493033685136,8.91288933622996,3.90689059560852,7.45121111183233,8.17492568250068,8.27612440527424,9.51569983828404,9.82017896241519,4,4.16992500144231,3.32192809488736,3.32192809488736,7.43462822763672,6.49185309632967,3.32192809488736,3.32192809488736,8.79441586635011,4.58496250072116,6.18982455888002,3.32192809488736,7.93663793900257,3.32192809488736,8.16490692667569,8.28540221886225,3.32192809488736,10.8955752823807,6.94251450533924,9.30149619498255,6.84549005094437,5.49185309632967,3.8073549220576,6.2667865406949,5.20945336562895,5.4262647547021,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.7279204545632,7.71424551766612,3.32192809488736,4.85798099512757,3.32192809488736,3.32192809488736,7.69348695749933,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,10.0361736125535,10.3026389237876,9.61470984411521,3.32192809488736,3.32192809488736,9.6724253419715,9.82813648419411,3.32192809488736,8.38370429247405,8.32192809488736,3.32192809488736,9.92777796208234,7.10852445677817,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.34429590791582,12.1318569606088,3.32192809488736,3.32192809488736
"AFFX-HUMRGE/M10098_3_at",3.32192809488736,10.5264992391366,9.37721053038855,10.2934716488381,11.3917806060132,10.1137421660492,8.76155123244448,3.32192809488736,10.0334230015375,10.9657842846621,8.63299519714296,10.3955341354623,6.62935662007961,7.97154355395077,8.00562454919388,7.93073733756289,10.4040771362412,8.41362792902417,8.74483383749955,3.32192809488736,10.0375469539622,10.2969162068793,8.2240016741981,10.729620743553,10.2969162068793,5.20945336562895,9.02236781302845,9.87498134765377,3.32192809488736,10.9736973663054,3.32192809488736,9.15734693536284,9.06339508128851,8.20945336562895,6.75488750216347,6.97727992349992,3.32192809488736,6.74146698640115,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,9.19475685442225,9.26209484537018,3.32192809488736,4.58496250072116,7.51569983828404,3.32192809488736,10.0940776856719,5.28540221886225,3.32192809488736,3.32192809488736,7.08746284125034,3.32192809488736,10.0901124196643,11.2859801059282,10.9578275608337,3.32192809488736,7.79441586635011,10.61194694182,9.64565843240871,3.32192809488736,8.05528243550119,9.45532722030456,3.32192809488736,9.6582114827518,7.63662462054365,9.24317398347295,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.51569983828404,11.8037275265531,3.32192809488736,3.32192809488736
"AFFX-HUMTFRR/M11507_M_at",3.32192809488736,3.32192809488736,6.32192809488736,7.55458885167764,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.37503943134692,4,3.32192809488736,3.32192809488736,7.75488750216347,3.32192809488736,8.45532722030456,8.3264294871223,3.32192809488736,3.32192809488736,7.40087943628218,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.12928301694497,3.4594316186373,3.32192809488736,3.32192809488736,9.94397991434374,3.32192809488736,6.96578428466209,6.93073733756289,4,3.32192809488736,3.32192809488736,6.75488750216347,7.58496250072116,6.4594316186373,3.90689059560852,3.32192809488736,3.32192809488736,3.32192809488736,9.82654848729091,3.32192809488736,9.64385618977473,3.32192809488736,3.32192809488736,3.32192809488736,7.36632221424582,8.1548181090521,3.4594316186373,5.78135971352466,6.74146698640115,5.61470984411521,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,4.90689059560852,3.32192809488736,3.32192809488736,6.4262647547021,3.32192809488736,3.58496250072116,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736
"AFFX-HUMGAPDH/M33197_5_st",8.59245703726808,6.65821148275179,7.05528243550119,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.10852445677817,3.32192809488736,3.32192809488736,3.32192809488736,4.08746284125034,3.32192809488736,8.81057163474115,8.12928301694497,8.34872815423108,7.66533591718518,8.35755200461808,8.07146236255662,3.32192809488736,3.32192809488736,8.29920801838728,7.39231742277876,7.76155123244448,8.2807707701306,3.32192809488736,3.32192809488736,8.6724253419715,5.49185309632967,8.53138146051631,8.55842071326866,9.73301532168596,3.32192809488736,8.98299357469431,3.32192809488736,7.04439411935845,3.32192809488736,5.28540221886225,3.32192809488736,5.70043971814109,5.83289001416474,3.32192809488736,6.88264304936184,4.39231742277876,8.22881869049588,3.32192809488736,8.55074678538324,8.23840473932508,3.32192809488736,8.7515440590891,3.32192809488736,5.64385618977472,6.3037807481771,8.4093909361377,8.03342300153745,8.43462822763673,4.08746284125034,9.24317398347295,8.62935662007961,3.32192809488736,3.32192809488736,7.56985560833095,3.32192809488736,3.32192809488736,8.78463484555752,7.88874324889826,7.56985560833095,8.81057163474115,6.56985560833095,7.876516946565,5.75488750216347,6.75488750216347,3.32192809488736,6.71424551766612,3.32192809488736,3.32192809488736,7.4594316186373
"AFFX-HSAC07/X00351_5_st",3.32192809488736,3.32192809488736,7.95419631038687,5.97727992349992,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,4.64385618977472,3.32192809488736,8.64024493622235,3.32192809488736,8.4262647547021,6.44294349584873,6.94251450533924,9.43254190038826,3.32192809488736,3.32192809488736,6.28540221886225,3.32192809488736,8.09275714091985,7.88264304936184,3.32192809488736,3.32192809488736,8.63299519714296,3.32192809488736,6.56985560833095,3.32192809488736,8.81378119121704,3.32192809488736,8.85486838326024,3.32192809488736,3.32192809488736,3.32192809488736,6.2667865406949,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,9.68650052718322,6.75488750216347,3.32192809488736,9.83289001416474,3.32192809488736,3.32192809488736,3.32192809488736,9.48381577726426,3.32192809488736,6.2667865406949,3.32192809488736,8.84549005094438,8.40087943628218,3.32192809488736,7.4262647547021,3.32192809488736,3.32192809488736,3.32192809488736,8.96866679319521,3.32192809488736,5.70043971814109,10.3398500028846,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736
