"","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","ALL","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML","AML"
"AFFX-BioB-3_at",3.32192809488736,3.32192809488736,3.32192809488736,8.04984854945056,3.32192809488736,7.74819284958946,7.89481776330794,3.32192809488736,6.7279204545632,5.39231742277876,3.32192809488736,6.39231742277876,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.64385618977472,6.3037807481771,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.08746284125034,6.95419631038687,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.61470984411521,3.32192809488736,3.32192809488736,5.35755200461808,8.03342300153745,4.08746284125034,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.4093909361377,8.28540221886225,5.4262647547021,3.58496250072116,4.52356195605701,3.32192809488736,5.61470984411521,3.32192809488736,3.32192809488736,3.32192809488736,5.88264304936184,3.58496250072116,3.32192809488736,5.88264304936184,4.58496250072116,7.7279204545632,6.6724253419715,3.32192809488736,3.32192809488736,5.24792751344359,3.32192809488736,3.32192809488736,5.97727992349992,3.32192809488736,3.32192809488736,3.32192809488736
"AFFX-BioDn-3_at",7.63662462054365,3.32192809488736,5.04439411935845,7.3037807481771,3.32192809488736,6.06608919045777,7.03342300153745,3.32192809488736,3.32192809488736,8.35755200461808,6.64385618977472,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.83289001416474,3.32192809488736,3.32192809488736,6.37503943134692,8.34872815423108,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.71080643369935,3.8073549220576,3.32192809488736,5.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,4.85798099512757,8.33985000288462,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.51963625284321,5.78135971352466,3.32192809488736,3.32192809488736,9.46964181723952,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.13955135239879,3.32192809488736,3.32192809488736,8.49585502688717,7.4262647547021,8.48381577726426,8.67595703294175,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.91886323727459,7.88264304936184,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736
"AFFX-CreX-3_at",7.97727992349992,6.65821148275179,7.68650052718322,5.61470984411521,6.12928301694497,6.44294349584873,6.97727992349992,6.12928301694497,4.58496250072116,7.467605550083,5.8073549220576,3.32192809488736,3.70043971814109,3.32192809488736,3.32192809488736,6.02236781302845,6.61470984411521,6.58496250072116,5.08746284125034,3.32192809488736,6.97727992349992,6.95419631038687,6.84549005094437,7.52356195605701,7.35755200461808,7.08746284125034,7.36632221424582,7.25738784269265,8.14465824283188,6.89481776330794,3.32192809488736,7.96000193206808,7.22881869049588,5.39231742277876,6.71424551766612,5.08746284125034,3.32192809488736,7.68650052718322,7.09803208296053,7.59991284218713,3.32192809488736,5.70043971814109,3.32192809488736,4.75488750216347,3.32192809488736,3.32192809488736,3.32192809488736,3.58496250072116,3.32192809488736,7.08746284125034,3.32192809488736,5.95419631038687,5.70043971814109,5.32192809488736,3.32192809488736,6.44294349584873,7.53138146051631,3.32192809488736,6.4093909361377,7.88264304936184,6.64385618977472,7.467605550083,3.32192809488736,6.8073549220576,3.32192809488736,3.32192809488736,6.56985560833095,3.32192809488736,3.32192809488736,7.4178525148859,7.876516946565,7.37503943134692
"AFFX-BioB-5_st",7.68650052718322,6.20945336562895,3.32192809488736,4.95419631038687,7.97727992349992,7.59245703726808,3.32192809488736,3.32192809488736,8.98299357469431,7.51569983828404,8.45121111183233,3.32192809488736,7.84549005094437,6.82017896241519,3.32192809488736,6.06608919045777,7.43462822763672,3.32192809488736,3.32192809488736,8.87344411251538,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.45121111183233,4.85798099512757,7.94836723158468,3.32192809488736,8.48381577726426,9.13185696060879,4.58496250072116,9.03342300153745,7.38370429247405,3.32192809488736,7.4594316186373,8.3264294871223,3.32192809488736,7.33985000288462,8.96578428466209,3.32192809488736,7.31288295528436,3.8073549220576,3.32192809488736,3.32192809488736,4.08746284125034,6.59991284218713,3.32192809488736,8.32192809488736,7.21916852046216,8.41362792902417,9.77807712953536,3.32192809488736,7.70043971814109,6.70043971814109,7.29462074889163,7.19967234483636,8.13442632022093,3.32192809488736,8.26209484537018,3.32192809488736,3.32192809488736,3.32192809488736,7.98299357469431,7.48381577726426,7.66533591718518,6.64385618977472,3.32192809488736,3.32192809488736,7.29462074889163,3.32192809488736
"AFFX-BioB-M_st",3.32192809488736,4.24792751344359,4.24792751344359,8.50382573799575,7.27612440527424,8.34429590791582,3.32192809488736,8.49585502688717,8.14974711950468,3.32192809488736,7.6724253419715,7.70043971814109,3.32192809488736,7.55458885167764,7.67948009950545,3.32192809488736,3.32192809488736,3.32192809488736,3.4594316186373,3.32192809488736,3.32192809488736,3.32192809488736,8.04984854945056,6.64385618977472,5.52356195605701,3.32192809488736,3.32192809488736,7.99435343685886,7.18982455888002,5.49185309632967,3.32192809488736,8.10328780841202,4.24792751344359,3.32192809488736,3.32192809488736,7.19967234483636,7.82017896241519,7.86418614465428,5.58496250072116,7.69348695749933,5.85798099512757,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.5077946401987,3.32192809488736,3.32192809488736,4.90689059560852,6.33985000288462,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.04439411935845,3.32192809488736,3.32192809488736,3.32192809488736,5.58496250072116,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.08746284125034,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736
"AFFX-BioDn-5_st",6.22881869049588,7.5077946401987,7.70043971814109,7.14974711950468,5,3.32192809488736,6.76818432477693,3.32192809488736,8.18982455888002,7.86418614465428,5.08746284125034,3.32192809488736,5.95419631038687,3.32192809488736,5.28540221886225,7.61470984411521,3.32192809488736,7.63662462054365,5.61470984411521,7.4178525148859,8.35314682549808,6.84549005094437,5.85798099512757,3.32192809488736,6.4093909361377,6.32192809488736,8.07681559705083,7.85798099512757,5.58496250072116,8.86108690599539,3.32192809488736,3.32192809488736,8.21431912080077,5.24792751344359,7.70043971814109,3.32192809488736,4.90689059560852,8.4797802640291,8.19967234483636,7.4178525148859,3.70043971814109,3.32192809488736,3.32192809488736,8.37068740680722,3.32192809488736,7.16992500144231,3.32192809488736,4.52356195605701,3.32192809488736,5.83289001416474,7.97727992349992,7.44294349584873,3.32192809488736,7.54689445988764,3.32192809488736,9.02513956227851,4.90689059560852,7.27612440527424,7.71424551766612,7.31288295528436,7.67948009950545,6.44294349584873,3.32192809488736,3.32192809488736,7.4594316186373,7.99435343685886,7.3037807481771,7.92481250360578,3.32192809488736,3.32192809488736,7.43462822763672,8.69348695749933
"AFFX-DapX-5_at",3.32192809488736,5.20945336562895,7.51569983828404,5.49185309632967,3.32192809488736,6.02236781302845,5.4262647547021,8.40087943628218,4.85798099512757,3.32192809488736,3.32192809488736,3.32192809488736,4.39231742277876,5.12928301694497,5.64385618977472,3.32192809488736,6.56985560833095,5.35755200461808,3.32192809488736,4.4594316186373,3.32192809488736,5.58496250072116,5.90689059560852,6.52356195605701,6.14974711950468,3.32192809488736,7.4262647547021,3.32192809488736,3.32192809488736,3.32192809488736,5.4594316186373,6.82017896241519,4.39231742277876,3.32192809488736,3.32192809488736,3.32192809488736,4.32192809488736,4.16992500144231,5.83289001416474,4.39231742277876,5.35755200461808,6.39231742277876,3.32192809488736,7.5077946401987,6.06608919045777,3.32192809488736,3.32192809488736,3.32192809488736,3.8073549220576,3.32192809488736,3.32192809488736,4.90689059560852,6.71424551766612,3.32192809488736,4.75488750216347,5.83289001416474,6.39231742277876,6.24792751344359,3.32192809488736,3.32192809488736,4.90689059560852,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.95419631038687,3.32192809488736,3.32192809488736,3.32192809488736,6.55458885167764,3.32192809488736
"AFFX-LysX-3_at",7.36632221424582,4.16992500144231,7.89481776330794,7.94836723158468,5.4594316186373,5.28540221886225,6.64385618977472,8.04984854945056,6.7279204545632,3.32192809488736,6.5077946401987,6.3037807481771,7.25738784269265,6.14974711950468,5.20945336562895,7.11894107272351,6.39231742277876,6.24792751344359,3.32192809488736,5.16992500144231,6.08746284125034,5.16992500144231,3.70043971814109,6.52356195605701,3.32192809488736,6.64385618977472,3.32192809488736,7.40087943628218,6.24792751344359,4.75488750216347,6.88264304936184,3.32192809488736,7.06608919045777,5.93073733756289,7.45121111183233,6.96578428466209,6.79441586635011,7.96000193206808,3.32192809488736,8.22881869049588,5.61470984411521,6.18982455888002,7.22881869049588,3.32192809488736,4.70043971814109,6.84549005094437,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.20945336562895,6.82017896241519,7.4178525148859,6.94251450533924,5.93073733756289,6.06608919045777,6.59991284218713,5.24792751344359,3.32192809488736,8.09275714091985,7.467605550083,7.31288295528436,7.04439411935845,6.08746284125034,3.32192809488736,3.32192809488736,5.28540221886225,8.64745842645492,5.08746284125034,5.12928301694497,7.56224242422107,7.29462074889163
"AFFX-HUMISGF3A/M97935_MA_at",3.32192809488736,3.32192809488736,6.70043971814109,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.5077946401987,9.21431912080077,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.75488750216347,10.3297963382207,7.69348695749933,5.6724253419715,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,10.9679467058127,3.32192809488736,3.32192809488736,3.32192809488736,5.70043971814109,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.06608919045777,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,9.24555270625568,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.59991284218713,3.32192809488736,7.02236781302845,7.34872815423108,3.32192809488736,5.61470984411521,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736
"AFFX-HUMISGF3A/M97935_MB_at",7.74819284958946,6.85798099512757,8.89481776330794,7.27612440527424,6.93073733756289,7.4594316186373,5.85798099512757,8.00562454919388,7.37503943134692,7.27612440527424,5.52356195605701,3.32192809488736,7.65821148275179,7.53138146051631,9.59991284218713,6.83289001416474,8.04984854945056,6.28540221886225,6.97727992349992,8.8073549220576,6.18982455888002,3.32192809488736,4.90689059560852,7.19967234483636,7.57742882803575,5.12928301694497,3.32192809488736,7.5077946401987,5.49185309632967,7.82654848729092,9.66177809777199,8.02236781302845,7.04439411935845,3.32192809488736,7.07681559705083,6.4093909361377,6.94251450533924,10.7607199474656,7.07681559705083,6.58496250072116,7.59991284218713,7.66533591718518,5.75488750216347,6.4093909361377,3.8073549220576,3.32192809488736,6.97727992349992,6.2667865406949,7.43462822763672,7.18982455888002,7.08746284125034,4.39231742277876,7.53138146051631,9.18487534290828,7.85174904141606,3.32192809488736,5.8073549220576,6.4262647547021,4.32192809488736,8.44708322620965,7.16992500144231,7.37503943134692,7.71424551766612,3.32192809488736,7.75488750216347,4.4594316186373,6.18982455888002,4.64385618977472,5.90689059560852,7.51569983828404,3.32192809488736,6.82017896241519
