"","CG","CG","CG","CG","CG","CG","CG","CG","CG","CG","CG","CG","CG","CG","NG","NG","NG","NG","NG","NG","NG","NG","NG","NG","NG","NG","NG","NG"
"1005_at",3.32192809488736,7.60792206726114,7.64817779572482,7.05939854397342,5.66732447027863,10.1315997727944,9.41810559707949,9.54922634570129,6.13113671915845,6.17612327114794,7.14974711950468,5.96324290431883,7.14984871416976,8.21858745243757,6.37677657188298,6.64443315240625,5.63633460244218,7.02525032156158,5.15663931069209,5.47540919340106,3.32192809488736,7.0672730065288,7.03815081026938,6.32409051603798,5.33913738491959,7.38301301548867,7.21596974625896,7.56277665679185
"1039_s_at",4.16992500144231,4.63226821549951,7.17741953798924,7.4757334309664,3.81557542886257,7.81018600769536,8.12303500345901,7.19406734734012,7.60087927282804,7.25332750118617,7.21674585819531,8.42546769718697,7.29801673077034,4.59036248846375,3.32192809488736,7.65949648015161,5.15177765473205,6.62600100488014,6.00988458893184,5.92219784839637,5.52293456094346,7.13740105597469,5.70901486490327,5.87258254483322,4.83238371654913,6.25833047261243,5.50303064564116,7.1829901801094
"103_at",3.32192809488736,5.13051908302734,3.32192809488736,5.43362716708478,4.33628338786443,6.05788344889963,4.31179371775365,5.1197711619529,5.06824086131282,5.114367024952,5.5552026338783,3.79701297783614,8.43137223790976,6.08491465976794,3.32192809488736,5.02059109477325,4.68929916053589,7.71417681626651,3.32192809488736,5.34518344718767,3.32192809488736,6.37521323955639,3.82068956055921,4.89093302170554,4.46923479366766,5.46107011403305,6.27835652801072,3.48800077083407
"1052_s_at",7.39145842004967,7.21441626871103,8.47078087271107,7.30815697511476,6.23457795978457,8.68257329734758,9.38741424199678,8.82997637345536,8.3336920672219,7.58983837577219,8.64017261886897,8.064096033801,9.12256919221645,8.03204572693081,5.46270675067016,8.93481133228232,6.09508049190141,6.74698450599195,4.25550073314839,6.35684807923652,4.5957423394744,8.24583788960736,8.04848687399234,8.61581352518973,6.31958180857156,7.65563804923464,8.37799132690588,7.85878917542284
"1058_at",3.32192809488736,7.65470762452019,4.9174317553901,6.63197732023875,7.47200029214035,5.71616782979715,8.19382101492691,4.1407786557828,5.83491342970104,5.36946648365072,7.46458659037983,6.0703893278914,8.59630158863475,6.51032901949057,6.44294349584873,3.61588707391606,7.55635277215575,5.61647532878288,4.15299460549244,6.91778975904161,4.55028504908841,5.21800615028443,5.3885339790918,6.03782146543497,4.88898672118656,3.32192809488736,3.65764000520782,6.78528898070402
"1063_s_at",6.11478344724985,8.58443642224861,6.03869955130559,5.04045412134962,8.00635413260396,4.21955576916691,7.23246889628851,4.7371459197762,4.75167794568758,7.63915979510997,7.24583788960736,4.90640961709402,6.32858517678881,5.20750245925879,5.73606362787181,4.19140472885276,7.00831656373499,5.84649331596456,5.60110220337641,3.57893871309339,5.21800615028443,4.86839045305445,5.62146583446014,6.30487605004489,6.08958289312471,4.60288440871842,4.10517519226548,4.9174317553901
"1072_g_at",6.16591193893569,6.98413359454098,4.48026512205446,4.34766565630097,6.93357263826102,3.32192809488736,4.47183776242229,3.32192809488736,3.32192809488736,6.3911146756971,3.92124588858559,6.05680026314344,5.3819754785573,5.93545974780529,5.60584986719498,3.75915583380027,5.31251996747495,3.32192809488736,5.65592421308382,4.38887833881199,6.5535141040851,4.10936055940423,4.5341861390901,4.46139758992616,5.19495379593384,4.82222027162153,3.70929063572336,5.18903382439002
"1091_at",3.32192809488736,10.4972530840723,7.32481060342048,5.38335869538511,9.75395211887814,3.74738739965272,6.66817586897014,3.32192809488736,7.44997398581035,8.44749654666539,3.56803210477128,3.32192809488736,7.8856963733394,8.40471582659663,6.0574502721839,6.42425028608405,8.73724734302774,3.37712374912949,4.02059109477325,3.32192809488736,6.59469782732387,5.90977310414164,6.56239508228596,6.47443604325227,6.8522485895654,4.75595576955096,6.27407525450688,6.46025109894385
"1101_at",3.60880924267552,6.8592241619782,4.49505552836802,3.32192809488736,7.4835739645351,4.93593113975227,4.29425313644451,3.32192809488736,4.99774402605963,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.51822038059959,5.29535569289167,3.32192809488736,3.69041709553247,3.32192809488736,3.32192809488736,3.32192809488736,3.65992455840238,3.32192809488736,3.32192809488736,3.32192809488736,4.04264433740849
"1104_s_at",4.41278152533848,8.93969674069176,8.97942519533147,7.68116812041669,6.86195536414487,9.10726939359254,8.84523912563878,8.3380232141887,7.26781666929339,4.10097764772482,7.57160097245201,8.27491389527767,7.25417828621676,9.47141103477583,4.95419631038687,7.72771628515829,7.60673831741759,6.67355642399014,9.13806696646004,5.38128337250378,3.32192809488736,6.32427057158154,8.14379134583338,7.14312807294381,7.26481788670616,8.22905911963416,8.78519087933783,6.31849761886055
"1124_at",3.32192809488736,5.97361127551947,5.52199295640167,6.73755157000828,6.30706416225537,5.40122086216022,3.7771566660045,3.32192809488736,4.67525138605026,6.69195284304767,5.74872956650074,4.34127418369217,5.85947266685194,6.3264294871223,5.55765515472542,4.89044669267991,5.98367769469807,3.32192809488736,5.47378691161437,3.40871186102943,4.85149920246126,4.36457243229586,4.97819562968165,3.38128337250378,5.36106648879432,4.73498052343589,3.32192809488736,5.53791724903408
"1126_s_at",3.92599941855622,3.32192809488736,6.50493813164961,4.70210340662939,3.32192809488736,8.00982861736811,6.75301612873584,6.35067403711449,5.82781902461732,3.32192809488736,5.58135124716878,4.38543103719352,5.6724253419715,3.32192809488736,4.4262647547021,6.1753249891849,3.32192809488736,5.10097764772482,3.32192809488736,4.60110220337641,3.32192809488736,5.77030048949942,4.15623479785027,4.33699741660501,3.32192809488736,4.07124781946144,4.41953889151378,4.29939120612683
"1136_at",3.81762325751143,3.32192809488736,5.16591193893569,5.93687346182423,3.32192809488736,3.854993016757,4.92076967302065,4.4666271200415,5.11811050560737,6.80838505065609,6.18626283566979,4.09000652990382,4.70708299177171,3.32192809488736,3.32192809488736,3.82680268428583,3.32192809488736,3.32192809488736,5.5438051759644,3.32192809488736,3.32192809488736,4.99819550315325,5.31288295528436,5.52293456094346,5.68678063494857,5.71506967937999,4.67355642399014,3.32192809488736
"113_i_at",3.32192809488736,6.93545974780529,3.38266725274504,4.57288966842058,5.43496176018725,3.32192809488736,5.51191074867093,3.32192809488736,4.762880292917,4.74362267606765,4.20476675065461,4.20945336562895,4.97727992349992,5.24526746651951,5.76818432477693,3.95419631038688,4.93310047493137,3.84398384404833,3.69488019279919,3.32192809488736,5.07424852334703,3.32192809488736,3.71369581484336,4.18030701996943,4.22727899446832,3.32192809488736,3.45811948117451,5.20124177119825
"1153_f_at",6.8008998999203,3.32192809488736,4.41953889151378,4.98185265328974,5.33664044640873,3.32192809488736,3.32192809488736,3.32192809488736,5.30779279612989,4.9481335778404,5.15340002773506,6.0408924306469,7.16349873228288,3.32192809488736,5.85798099512757,3.32192809488736,3.32192809488736,5.27500704749987,5.0746766862945,3.32192809488736,5.57106999816771,5.87405920314115,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.8801957289431,4.73822740036724
"1198_at",4.80219321694183,5.09212284983868,6.2336196767597,6.78568131947475,5.84172158112846,3.65535182861255,7.47775826644389,4.24716800037477,6.75808993420181,5.34731131636529,5.74173662382664,7.02812708231714,7.20681901829002,3.60999129521268,3.32192809488736,4.12680770314203,4.3212065669699,3.8972404255748,4.35755200461808,5.00405188450708,4.32481060342048,5.32732808262995,5.141187525005,5.15218341905505,5.02502879449152,5.31578357458946,4.53605290024021,6.49409554494063
"120_at",3.62058641045188,3.44493204894218,7.25190841024167,3.32192809488736,3.73009646559547,5.84724530714181,5.61647532878288,5.6979405826171,6.57425291650018,5.09212284983868,3.4594316186373,4.86591881455221,5.02768487693716,4.52042224852645,4.26303440583379,4.92694824794977,3.32192809488736,6.64010029789039,4.10601323762212,4.22187708107703,3.32192809488736,5.40429006444484,4.0071955014042,4.71534429535891,3.32192809488736,4.20711196120771,4.16269343221124,3.32192809488736
"1217_g_at",3.32192809488736,7.83876272219758,4.65306001710456,3.56193705962243,8.16042611280556,4.74738739965272,3.65764000520782,3.32192809488736,3.32192809488736,4.57046293102604,3.32192809488736,3.34198574722862,3.77294133783134,6.31179371775365,3.32192809488736,3.32192809488736,7.17042585027251,4.78502736223547,3.32192809488736,3.76234881564413,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,4.7839804136838
"1230_g_at",3.32192809488736,3.32192809488736,6.24830712008724,5.52105073690096,4.68425770505893,6.07360604057494,3.4867143730307,6.78437310843037,3.32192809488736,4.89336221076387,5.89020346667564,3.32192809488736,6.30615285211144,3.32192809488736,3.93545974780529,5.70542503904273,4.58135124716878,6.38818953715608,4.96901230751632,3.32192809488736,3.32192809488736,5.9898202201176,5.36876834909033,6.13463167144765,5.6331405495224,4.91025296279928,5.05311133645956,3.60762622084549
"1237_at",5.22496636500027,4.46205231879643,5.93215568443206,3.32192809488736,4.47508488294878,6.98276546258365,6.82107239061079,6.63792898100901,3.32192809488736,3.32192809488736,3.84498815668261,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.43162295971329,4.40599235967584,4.2585189247113,3.32192809488736,3.32192809488736,3.32192809488736,6.33002051583608,4.8011586560937,3.32192809488736,3.82578562746479,3.32192809488736,4.68369645430652,5.37816477987163
"1242_at",5.28909670241999,6.16510798514454,8.30956730101638,7.01658546043445,4.87725345387661,6.64889680647525,7.34660237529899,6.53791724903408,6.18606470409757,8.29241366782749,7.89075066753215,7.13709360897494,5.98481717429359,6.92789645372882,3.57288966842058,7.27360913223186,4.01792190799726,5.97933944567821,4.13996056954546,6.10496560483998,3.32192809488736,5.54812832358559,6.16551001804135,6.36806987653208,6.30852106219326,7.29498826769145,6.77452352959023,6.00247750360624
"1251_g_at",3.32192809488736,7.6414737769257,5.92481250360578,3.32192809488736,7.75975505643011,3.32192809488736,3.51727569320958,3.32192809488736,6.172127436878,6.70791125418517,3.32192809488736,4.33413917883824,3.32192809488736,6.36404708360732,3.32192809488736,3.32192809488736,6.93510610273895,3.32192809488736,3.32192809488736,4.46793154602629,4.20711196120771,4.51412226017071,3.32192809488736,3.32192809488736,5.13873256972024,3.32192809488736,3.32192809488736,3.94110631094643
