"","MD","MD","MD","MD","MD","MD","MD","MD","MD","MD","Mglio","Mglio","Mglio","Mglio","Mglio","Mglio","Mglio","Mglio","Mglio","Mglio","Rhab","Rhab","Rhab","Rhab","Rhab","Rhab","Rhab","Rhab","Rhab","Rhab","Ncer","Ncer","Ncer","Ncer","PNET","PNET","PNET","PNET","PNET","PNET","PNET","PNET"
"AFFX-BioB-3_at",3.32192809488736,3.32192809488736,7.34872815423108,5.90689059560852,3.32192809488736,3.32192809488736,6.59991284218713,3.32192809488736,6.44294349584873,3.32192809488736,3.32192809488736,7.49185309632967,9.06069593168755,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.41362792902417,9.4797802640291,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.93663793900257,3.32192809488736,7.82017896241519,8.18487534290828,3.32192809488736,9.69174351917128,5.6724253419715,3.8073549220576,3.8073549220576,7.29462074889163,3.32192809488736
"AFFX-CreX-3_at",3.32192809488736,7.89481776330794,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.24792751344359,7.03342300153745,3.32192809488736,3.32192809488736,6.95419631038687,7.83920378809694,3.32192809488736,3.32192809488736,6.3037807481771,3.32192809488736,6.4093909361377,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.78135971352466,3.32192809488736,6.89481776330794,4.08746284125034,3.32192809488736,4.70043971814109,3.32192809488736,8.35314682549808,3.32192809488736,3.32192809488736,6.71424551766612,8.22881869049588,8.44708322620965,8.87958324961278,3.32192809488736,3.32192809488736,3.32192809488736,8,8.08214904135387
"AFFX-BioB-5_st",8.55842071326866,7.13955135239879,6.04439411935845,5.78135971352466,3.32192809488736,7.60733031374961,3.32192809488736,8.56605403817109,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.66533591718518,6.37503943134692,3.32192809488736,3.32192809488736,9.78790255939143,3.32192809488736,5.32192809488736,7.33091687811462,6.06608919045777,10.2360141919001,8.40514146313634,4,3.32192809488736,3.32192809488736,3.32192809488736,7.67948009950545,6.91886323727459,3.32192809488736,8.16992500144231,6.91886323727459,3.32192809488736,7,3.32192809488736,5.12928301694497,8.39231742277876,3.32192809488736,3.32192809488736,7.91288933622996
"AFFX-BioB-M_st",3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.01122725542325,3.32192809488736,9.12153351734003,9.54689445988764,3.32192809488736,5.35755200461808,8.467605550083,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,9.67419226814568,3.32192809488736,7.467605550083,3.32192809488736,7.08746284125034,3.32192809488736,3.32192809488736,6.58496250072116,5.97727992349992,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.09275714091985,3.32192809488736,7.34872815423108,6.52356195605701,3.32192809488736,6.55458885167764,9.20212382383046,7.03342300153745
"AFFX-BioDn-5_st",3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.93073733756289,3.32192809488736,3.32192809488736,3.32192809488736,6.59991284218713,8.51175265376738,8.67595703294175,6.4262647547021,8.60362634498619,10.0993478104032,3.32192809488736,8.78463484555752,8.26209484537018,7.86418614465428,3.8073549220576,3.32192809488736,7.4093909361377,7.19967234483636,9.45738087907253,8.79441586635011,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.45121111183233,3.32192809488736,3.32192809488736,8.18487534290828,9.17492568250068,3.32192809488736,3.32192809488736,10.4645457503339,8.8703647195834,8.28540221886225,3.32192809488736,9.41362792902417,9.4241662888181
"AFFX-CreX-5_st",3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.14465824283188,3.32192809488736,6.08746284125034,3.32192809488736,3.32192809488736,4.90689059560852,5.49185309632967,4,3.32192809488736,3.32192809488736,3.32192809488736,5.85798099512757,3.32192809488736,4.70043971814109,3.32192809488736,7.58496250072116,3.32192809488736,6.06608919045777,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.90689059560852,5.90689059560852,8.78790255939143,3.32192809488736,8.93369065495223,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.3037807481771,3.32192809488736,3.32192809488736,3.32192809488736
"AFFX-DapX-5_at",3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.28540221886225,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,10.0834793273318,4.4594316186373,3.32192809488736,5.7279204545632,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.45121111183233,3.32192809488736
"AFFX-LysX-3_at",3.32192809488736,3.32192809488736,6.18982455888002,3.32192809488736,3.32192809488736,7.93663793900257,4.08746284125034,3.32192809488736,3.32192809488736,6.10852445677817,6.06608919045777,8.03342300153745,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.33985000288462,3.32192809488736,5,7.51569983828404,6.6724253419715,4.64385618977472,6.22881869049588,7.40087943628218,3.32192809488736,5.49185309632967,3.32192809488736,5.78135971352466,3.32192809488736,3.32192809488736,6.98868468677217,3.32192809488736,7.96578428466209,3.32192809488736,3.32192809488736,5.04439411935845,9.12153351734003,3.32192809488736,8.06069593168755,6.65821148275179,3.32192809488736,3.32192809488736
"AFFX-TrpnX-5_at",3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.82017896241519,3.32192809488736,3.32192809488736,6.37503943134692,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.16992500144231,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.55458885167764,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,9.01122725542325,7,3.32192809488736,3.32192809488736,4.95419631038687,5.78135971352466,5.24792751344359,4.58496250072116,3.32192809488736,3.32192809488736,6.78135971352466,4.08746284125034
"AFFX-HUMISGF3A/M97935_MA_at",3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.90689059560852,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.69348695749933,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,9.54882190845875,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,10.1072170755914,8.01122725542325,3.32192809488736,8.44708322620965,8.51175265376738,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,9.55458885167764,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736
