"","Serrated CRC","Serrated CRC","Serrated CRC","Serrated CRC","Serrated CRC","Serrated CRC","Serrated CRC","Serrated CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC","Conventional CRC"
"1405_i_at",3.36457243229586,4.5909612413426,3.8073549220576,4.71699089440494,4.64385618977472,5.31469652565629,3.81762325751143,3.877744249949,3.49825086752783,3.32192809488736,3.32192809488736,3.32192809488736,4.20945336562895,3.63226821549951,3.32192809488736,5.21334728173344,4.32192809488736,3.32192809488736,3.32192809488736,3.56071495447448,3.32192809488736,4.26303440583379,5.84799690655495,4.16992500144231,4.05311133645956,4.64961545906341,8.47532812262242,5.62351574149055,3.32192809488736,3.72246602447109,4.94485844580754,5.19770815795585,6.15785216914174,4.03562390973072,4.14567745519564,4.56071495447448,3.4594316186373
"1438_at",6.77741971551583,7.36194377373524,6.22689381357139,5.99774402605963,5.65535182861255,5.66391384211598,4.14567745519564,6.19770815795585,7.34695688937888,7.78004757606187,8.5588033402543,5.62058641045188,6.64961545906341,5.16188768237689,7.05202456048283,8.07841770164733,8.18883607303053,7.67948009950545,8.79116288855502,7.93781516880342,8.03066713624694,7.65963918701565,7.90327934205614,7.05093696522523,5.76553474636298,5.87528859822269,8.12153351734003,5.89965902637744,7.13134253912326,7.35138098067433,8.28493974248679,6.22689381357139,7.53915881110803,5.82273014794452,8.70632333327543,6.66959375118833,7.87159726561385
"200628_s_at",7.47654370621426,6.12928301694497,8.02735313393009,7.11582397743624,7.55382125653269,7.18289089274548,4.85798099512757,6.38887833881199,6.71699089440494,4.56071495447448,5.10433665981474,3.99095486039699,4.64385618977472,7.8635668293235,6.19377174339668,6.00898878322726,4.51096191927738,6.99774402605963,4.8073549220576,7.93899143877554,6.43128865429159,6.73470962022584,4.43962313755712,6.73876783680019,5.79960542245267,4.32192809488736,9.58308276750293,5.98413359454098,5.8073549220576,8.33449676839042,8.09381367340273,6.4966540825935,8.96837880137054,7.81249822533356,7.16188768237689,7.64745842645492,6.08958289312471
"200665_s_at",10.0986900966736,9.73690923779045,10.5685261979445,8.68720069465189,9.8801957289431,10.3133365616522,10.8340759534349,9.8589134706793,7.92540608314137,7.57667329251657,9.94412637341101,6.92481250360578,8.56491161099706,7.72109918870718,10.3851074299453,8.41405094472604,5.84549005094437,9.26655231794239,9.62296694479051,7.70043971814109,10.5438051759644,7.25077213159993,7.99943633715208,9.25029841790633,9.84454885592944,9.84971784645969,9.40130620600602,7.8801957289431,9.50720000048118,9.48683502156305,9.467605550083,8.30560578958543,10.2534929709075,9.62260096431141,9.85984534392145,10.2576235579192,9.72229524080224
"200671_s_at",5.30012372456901,5.78659636189081,5.52356195605701,5.46597446450407,3.52356195605701,3.32192809488736,3.32192809488736,5.67807190511264,5.32192809488736,3.32192809488736,5.71149490665009,3.32192809488736,3.32192809488736,3.84799690655495,4.96809075204526,3.32192809488736,6.12308675098106,3.32192809488736,5.25927248703759,5.86789646399265,3.32192809488736,3.32192809488736,3.32192809488736,5.65821148275179,3.32192809488736,3.32192809488736,4.72246602447109,6.18784690943957,3.96347412397489,6.467605550083,6.08746284125034,3.32192809488736,6.48220292629596,5.81762325751143,3.32192809488736,3.32192809488736,5.46270675067016
"200702_s_at",6.06177619758669,5.82017896241519,5.3037807481771,3.32192809488736,6.40769264866568,6.10223819393074,6.22881869049588,6.23266075679027,5.02236781302845,3.32192809488736,3.32192809488736,5.71973105674985,5.48542682717024,4.8923910259134,3.70043971814109,5.63226821549951,5.99095486039699,4.21723071622067,6.57440430902258,4.43295940727611,6.4870360800319,5.76022094646651,3.41953889151378,6.43796008833447,7.03782146543497,3.32192809488736,5.18982455888002,3.32192809488736,4.37851162325373,4.80219321694183,5.5909612413426,5.23266075679027,4.88264304936184,4.99548451887751,3.79701297783614,4.30012372456901,3.79701297783614
"200724_at",4.97727992349992,4.41953889151378,5.06177619758669,3.32192809488736,5.84549005094437,4.79701297783614,5.34340782229781,3.32192809488736,4.58496250072116,5.53915881110803,5.61176256006487,5.28909670241999,4.43962313755712,5.48864353985378,5.74953426766926,5.5298209465287,4.30012372456901,3.64385618977472,5.37155886261196,5.43295940727611,6.15987133677839,3.32192809488736,6.39746072605472,5.61765111942733,6.12308675098106,3.40599235967584,4.90689059560852,6.11270013274936,5.47248777146274,5.99774402605963,5.22881869049588,4.74953426766926,5.52042224852645,4.32192809488736,4.68369645430652,4,6.08746284125034
"200784_s_at",3.32192809488736,3.59693514238723,3.32192809488736,3.54843662469604,3.99095486039699,4.27798474729977,5.04439411935845,5.62935662007961,3.67807190511264,3.47248777146274,3.83794324189103,6.09381367340273,3.32192809488736,5.56985560833095,4.39917109381982,3.32192809488736,3.74416109557041,4.36457243229586,5.74146698640115,3.32192809488736,3.62058641045188,3.52356195605701,5.27426166125705,3.32192809488736,3.70043971814109,6.35755200461808,3.32192809488736,5.16591193893569,3.73335434061383,3.32192809488736,4.8923910259134,4.05311133645956,3.73335434061383,4.34340782229781,6.2667865406949,7.1261882105221,4.30012372456901
"200799_at",7.58345891013077,7.48944659862258,8.75788999032499,10.1009251010569,9.06689644313624,8.3228294976289,10.4107693241845,7.88508622529017,6.16188768237689,8.20408201217437,7.68299458368168,11.8967108157261,10.3663222142458,8.51254295509686,7.54148386405428,6.64385618977472,5.7839804136838,11.2657908312713,10.148222340387,8.37764435839991,10.0400156788479,5.92362461136832,8.99604972751976,8.47816289273763,10.0589387725692,6.80864246791806,8.5461227588578,9.71458897559915,8.27937843123448,10.7798834749366,8.89572673847666,6.74550626586916,8.36413465500805,10.6434954709228,7.55458885167764,7.93781516880342,9.27798474729977
"200800_s_at",7.09908476089186,8.05093696522523,7.52277766952458,8.29462074889163,8.21916852046216,6.11478344724985,8.11113567023471,6.93073733756289,6.78135971352466,7.53060141451683,6.89481776330794,9.77082904603249,7.90267658665114,8.00506308001346,8.32237886665822,7.23744899563932,6.73199778664374,9.27705487614873,8.98441845880114,7.32102612859297,8.03946743827853,7.09908476089186,7.69974594797101,7.90749159334305,7.18388345903223,6.28909670241999,8.82559484946338,7.63952159951083,7.52904005609508,9.36128586004707,7.39746072605472,5.68088692071969,7.05528243550119,8.90989308377004,6.52825874275841,7.56376827845203,7.83541884047548
