,BL,BL,BL,BL,BL,BL,BL,LCNEC,LCNEC,LCNEC,LCNEC,LCNEC,SCLC,SCLC,SCLC,SCLC
A_23_P337899,5.70944803261954,5.24605490991145,5.38199998625409,6.01326869749764,5.15661740446564,5.74770851616241,5.10253041538581,4.3385640693407,3.59029761451328,4.17598028201454,4.2794310587721,4.14063212011181,3.96122587331456,4.20804573036117,3.89912325760196,3.63815592156329
A_23_P80570,6.31929266968294,5.08148831853259,7.36566460223095,5.52060377203467,5.26889376286078,5.57584890198759,4.88293211477854,2.99113219262938,3.93607882330386,3.84272458693994,4.10339739493366,3.88698497604456,3.85541806129951,3.93913223458684,3.00987730164933,3.44901221237188
A_23_P364324,8.38881413651717,6.23865711019913,5.68424250876799,7.80229878695752,7.60569309802891,8.77663069734698,7.91763737002766,2.78412884380874,2.9739709189501,5.0893480762372,2.29865674457948,3.30570914665532,3.96122587331456,3.93788185435102,3.43638952595473,3.57524677641582
A_23_P160940,4.87622497983746,5.54064978955415,4.43022419660638,5.54689143205406,4.67089071276558,4.91763982434288,5.61002139519654,3.80148016035528,4.42318420692846,3.92834606385807,4.27077574904703,4.2082035521331,4.31707774052823,4.35172022339394,4.32108050337042,4.21907321448341
A_23_P171258,6.54741724930867,6.47893414808201,6.51542426658853,6.19680461190173,6.58077039881814,6.67700055622775,6.80234658571645,7.22594765094299,7.35949133637559,7.0921634285686,7.55268253044109,7.20758597659313,7.51252595077411,7.36010849661263,7.97889372943258,7.59947596592453
A_23_P251660,6.1481263436167,6.06648858320544,5.65149427733139,4.985588062303,6.73957908623292,5.65881082406008,5.51670996884657,7.734324624986,7.73861655075121,7.38233730488439,7.25745019855782,7.65251521812484,7.02619907605521,6.77588116306854,6.7141279875689,6.70170018415379
A_23_P17242,5.1928139010075,5.30312164695029,5.49127456807363,5.24724238888445,5.21483231349102,5.46395616513868,4.91501689159807,6.32272962078802,6.26351725934048,6.78030299031803,8.9499108291918,6.18668542640626,6.59917953448712,5.88296599063237,5.87914108330651,6.3850117729718
A_23_P211850,6.10814718205568,5.78334424083828,4.86947457999417,6.30230914988641,6.24580382993577,6.45503056812776,6.19255338126552,4.73880611268331,4.13294350565247,4.66074944264964,3.79578859451773,4.22019128094215,3.04670205029058,3.33727698856858,5.31789041971596,3.19191134128672
A_23_P89799,7.98378147234524,8.04361222026907,7.74817663348732,7.69836232640935,7.47089337383246,7.54506646756192,8.29597302463856,9.30188358633897,8.86267829289135,9.32238046300166,10.5492559117621,10.0103717414146,8.55139857617321,10.3532992582307,10.7717066896616,9.70392642178609
A_23_P52127,5.10515249048417,5.70513355042628,5.85324924811309,4.98786465683785,5.18972903674884,4.88023043072053,5.57971443245128,6.96809891479881,6.48754999294426,6.56411264468177,5.92141153623135,6.25586812761637,5.87914108330651,5.89967614486275,6.21578940310123,6.4955665930437
A_23_P204751,4.83573960598701,5.6367486451762,5.57135271334432,5.79374617913096,4.87251311718831,5.88998254715861,5.32990973100851,4.8559075705893,4.51217205262358,4.25154029349132,4.58704847086067,4.01380854807819,4.00202082079166,3.68417549481436,4.24830318096657,4.75931934295819
A_23_P165952,3.88698497604456,4.25602623029225,4.01798499178076,3.63815592156329,4.21048303418724,3.98704416053225,4.04281576826876,5.98827473006828,5.23412605081025,4.50267801757174,6.19132000420344,5.24486645272202,4.59883910034788,4.98074319527145,4.17598028201454,5.19527705189311
A_33_P3327404,4.65557895965986,4.67739144723406,4.13304339343508,3.95894578731504,4.99398426650285,2.74431378665228,4.41723599741863,7.33159454200909,5.22661074989335,7.56978560541983,9.34829340526542,6.94585527764682,5.25980233735057,5.266856518333,5.36651115632411,8.13547594978797
A_24_P11462,4.25509171132392,4.32355183273375,5.03401703610425,4.03511816460153,5.55331351173071,4.31154545101978,4.54275870867044,4.04868919335779,3.10000527780345,3.29664586616867,2.35679002858251,3.26587439165607,3.40938215665695,3.22874811042606,3.67426245746204,3.92272715951125
A_24_P291658,6.6751134163416,8.27132686717767,7.08560135415052,8.33462201637422,6.83138820240386,7.76613006972072,7.61733491406253,2.79001088056238,3.62551851730026,3.68538066519773,3.57449615113994,3.82505050598857,2.2548687109008,3.09432704907566,3.9880214554118,4.03474597188709
A_23_P81158,9.36182331498386,9.01838898032336,7.2666639095711,8.95834377639561,7.41091239282707,8.62695821483222,8.29702125705495,3.50736207982839,4.38147823795216,3.04880315050549,4.19730146114345,3.38957220441413,4.19068991880473,3.33669933301602,4.74658471746866,3.67241450241712
A_23_P41498,6.64348169655053,6.69514586086647,5.38932392143974,7.78131512636347,5.96478558257243,6.4738756250701,6.54576035383967,3.66361224017623,4.39750921774919,3.66431452941978,5.98947241061518,3.98948621511987,3.97048562502333,3.70968458954817,3.78595022929586,4.26560031614822
A_23_P92562,4.20568760079254,7.77434751521222,3.71731761031837,6.94688643928899,4.71254417102032,6.14503858071364,4.74306382255477,3.29025355873009,3.30570914665532,4.05166088652582,3.08325463107597,3.228800893741,3.0446771080252,3.61050346872395,3.13347418295465,3.0385334343101
A_33_P3406677,3.80549454076251,7.01312118047875,5.23052807441473,5.9797271852008,4.36942868009957,4.97215077810071,4.45824801723355,3.48551807246652,3.15189264082668,2.80363178667903,3.04670205029058,2.28023499059608,3.53691805661075,3.84367823182261,3.77288417582366,3.00799529050026
A_23_P157569,5.2075301174412,5.72572639094909,5.30654326888822,4.60440991283335,5.33362797162004,5.50026694536018,4.63376297941062,2.88522456311396,3.51342232109644,2.98540176688231,3.33727698856858,3.50946889186533,4.2129162273508,3.99271934770001,5.07738009897118,3.57524677641582
A_23_P55477,4.4061718637233,5.12830420241689,4.78423744452215,5.41817646603198,4.77565788448591,5.55722274835642,4.84771490084778,3.7915989222626,3.63404395905001,4.07436901439734,3.66923373823801,3.08360998332032,3.40284152486352,3.61258349811905,2.94007640099299,2.55114426562925
A_23_P126540,5.53866215795606,6.38754843137694,5.778349926256,5.70897597783595,5.90103104979335,5.92132695701468,5.79661445804535,4.41760264531155,4.67626629286606,4.31454707874115,4.75713192679325,4.40867028246554,4.8357683797352,4.53854244156778,4.48952273379438,4.47110615557191
A_23_P145024,8.36946271235315,9.45784097925204,8.08408334115295,8.34607617843728,8.95877157058441,9.13496144429782,9.28210044127642,6.37396971311362,4.62567269071482,4.8427251686709,4.04046326025649,6.32074318875228,4.52914797326806,4.27813651123077,7.85730794146852,5.17957796978976
A_33_P3215999,4.54963580615773,4.9431340687937,4.81605991998903,5.44906883905102,5.15661740446564,5.18167738209776,5.43819164584383,5.47616158467827,5.71803848057994,6.90967661387264,7.5266025882084,6.00170561805676,5.30312164695029,5.70513355042628,5.70686089194369,5.8528592615294
A_32_P167705,8.48663678418816,7.5451871613929,6.713782865754,8.02590478175091,7.39618268518297,8.11299697206379,7.96865287519448,4.78369018977994,3.74961024928447,1.83593504005037,2.82923227358337,3.04670205029058,2.5806209240698,2.9967427568646,3.30570914665532,3.76958222841843
A_33_P3386562,7.24864591420332,6.71785746318087,5.77101289555644,6.92311302208604,7.49408620902422,7.2159644903863,7.61365657486865,4.40178119783779,4.33186343300165,3.37252847136225,3.86239766814142,5.44026982466266,4.5263479550615,6.67966599648081,5.2916572743742,4.69248067224551
A_33_P3386572,7.72715949347481,7.08627646231532,7.0263237849666,7.16346812281498,6.8858575116352,6.99414927690504,7.25544840978878,5.04770014991565,4.18096005430299,4.73880611268331,4.70981216076162,6.6774653720814,5.32578065457867,5.95523045397149,5.87300006034829,5.38091844296615
A_33_P3217218,4.52439022554053,3.29656142190516,4.4313360222109,4.2794310587721,4.74890172350544,4.38677359469019,4.04281576826876,5.0893480762372,6.77886672661072,5.04770014991565,4.87255587146274,5.0544994094396,6.21518269915689,5.37766893978126,5.52397615023877,4.97931467484692
A_23_P31407,10.3410483371572,11.6793560772995,10.4191652498862,11.0014325372884,11.0708601120162,11.2330339021683,10.2013539125308,8.54589827539762,4.85846197676123,6.0631323749244,9.36487523720616,5.56402329107841,5.18087553673513,5.55402551639577,5.39561301366225,5.39906322064621
A_23_P129103,11.6490234762879,11.677642884516,12.075044774192,11.5167529997687,11.7678407579902,11.198357223702,11.4595344420283,9.18622434673497,9.60272337370708,8.82475221001868,10.4971165419887,8.20768892570485,9.63981677984766,8.55332002060281,9.90413701812436,6.35943258727102
A_33_P3227774,9.54066826185469,9.20460344162946,9.94605744879647,9.2203346915745,9.9458746175417,8.97704935548832,9.5011170673164,7.26163149558093,7.19980196940504,6.68252179904559,7.78696847683016,6.29601146827511,7.85884018986763,5.89967614486275,7.54458359124188,8.8978854044412
A_23_P115261,3.97858597795019,4.42757227979731,3.86647766489112,3.62209330633718,3.98635385065526,3.74386495249469,3.45701021023788,4.96628293226048,4.89251118218789,11.1209309323416,12.0276440160384,6.73923442352421,4.59415935866657,5.4317145004305,8.62312377489542,5.89569812623716
A_23_P158596,5.26376527566403,5.01391256864386,5.55499423445524,5.22932675216276,5.97901259860812,5.96825110772807,4.82721989641434,4.83039266892759,4.33186343300165,4.17598028201454,4.00119048790744,4.22019128094215,4.66786138575386,4.85084733795901,4.04281576826876,4.52439022554053
A_23_P41888,7.34427445272633,7.14542993822695,7.6299081515506,7.52586888046897,6.21457573996488,6.98759183908069,7.83514694126323,6.76047989473562,6.11401731190607,5.42040520508885,6.51590808191683,5.8489535865739,4.59883910034788,5.89967614486275,5.75022349623596,4.94020003933773
A_33_P3253628,8.69994356208338,9.02236110831602,8.85670978587916,8.73295414870308,8.95985912826892,9.18630173655505,8.9854348471626,9.37302979295119,10.321520259925,10.2644214386467,9.16403660696204,9.94427385494338,9.10741511115149,9.49306877267344,9.64458426654911,9.36025882386471
A_24_P72518,4.83671735770048,5.21604576089554,5.90495267808496,5.53179341613022,5.11948933307057,5.34254437686246,5.33920717938835,4.52439022554053,3.81513562493137,3.77946548489964,3.24518506087963,3.50946889186533,3.40693910779701,2.9967427568646,4.40178119783779,4.00681040675592
A_33_P3222380,5.81171398658914,6.27753306066611,4.59324669335444,5.99677193136454,5.87990687645667,5.99465231833094,5.60772114629589,4.11744224824405,5.55499423445524,3.6199362750124,4.13551093263699,3.9319863487189,4.56685827487011,4.03458623735107,4.46846656621397,5.52299600696935
A_23_P392384,3.74625453953028,4.90752564474083,5.34698199922514,4.40391245354979,3.96700333221141,4.28868769998058,5.15788079573829,6.03302556431989,9.5976698250621,5.42040520508885,5.66748651263104,5.02433999941477,6.98741419670952,7.20194704863815,7.81696816223078,6.74501150178246
A_23_P93431,8.56574741721925,8.65753312586268,8.8092579381366,8.92883503281307,8.39492119032815,8.42645119581643,8.59938087445106,6.53036861985292,7.26808071685161,7.67682156817016,8.04224464316752,7.29718071539719,4.29559141171575,4.78859219246081,8.00815242952839,8.14217450941648
A_23_P70785,4.42115407530941,4.72639705535937,4.72382506020054,4.6704032610411,4.16285672075536,4.87514371305388,4.81720326889255,4.26840959922716,4.07349952896651,4.18242001718617,3.78821863216163,2.94363411908494,3.5819743166902,3.33178990867136,3.78801888795716,4.11315558597044
A_23_P217088,9.24956253256094,8.65898395035477,8.53141201577495,9.49288106122164,9.59226217662391,9.56473420160935,8.81992428044194,6.47763957326795,6.1822836768045,7.66148173924738,6.73342881458801,6.27589468842109,6.82623098940923,7.23390849213196,7.61765236571885,6.25838194579391
A_23_P105963,9.97033350623867,9.53851244993736,9.02779534069614,10.0750476103375,9.47798261301969,9.80598938220201,9.63433195892186,5.11748287930826,3.10696902768765,6.01546369880794,5.16311180866007,4.18026323621819,4.05952133510818,6.25288704803008,5.54618611368718,4.43162013018862
A_23_P83200,6.50378731938651,6.23865711019913,6.07308559932853,6.61352367302285,6.20605138945327,6.80752505191563,6.2983047163258,3.84367823182261,4.93578777664222,4.17598028201454,4.53220525414548,3.88698497604456,4.09387352455574,3.73951961270258,3.63815592156329,3.89002913424349
A_32_P132438,6.65979146872075,7.40222396343255,7.51548603325863,5.83261770000959,7.4239356241134,6.66171656691623,7.07027032896645,8.80573460579807,8.57325604840604,8.46172636175008,7.81783704295013,8.85997118745584,7.94003210812474,8.31345230912027,7.9131206885401,8.02114963722281
A_23_P313652,9.1128811316256,8.58735827098018,7.58059368148359,9.12484204850218,8.30576575107634,9.07363303966463,9.31638213982664,3.18696929118712,4.00681040675592,1.83593504005037,3.64177240142578,3.44469467790354,2.17491650651073,3.19191134128672,3.43638952595473,3.50946889186533
A_33_P3278590,8.17873061540105,8.12378559218856,8.39579152006706,8.27865601311979,8.4192258314153,8.74045778646475,8.72679532076933,4.81285543461804,4.09914439377385,4.3496630987102,5.69820342827756,4.88023043072053,4.45619559333345,4.5360969504141,4.23463224719005,3.71912410826974
A_33_P3394380,3.60889300906628,3.00799529050026,4.29559141171575,3.58654959972649,4.21048303418724,3.53691805661075,3.65256776337558,4.52439022554053,4.97502060700391,4.98786465683785,4.40604056545708,4.83671735770048,5.12595927713007,3.73951961270258,4.37378449763421,5.10253041538581
A_23_P259594,6.71098833791264,5.70513355042628,7.0263237849666,6.574320415037,6.6480980840076,5.87645760164459,6.16391546729554,6.12826676234832,5.0666579042488,3.88393438093602,5.51217025179222,3.04670205029058,3.2687649931163,3.19191134128672,4.17598028201454,4.76888344591053
A_23_P309261,8.69006208957737,8.31362860342742,8.73022056068664,8.70126954729317,8.4880897030999,8.63198041360345,8.39434004634932,6.51427153726338,7.22302657522556,6.61491648009472,4.8693850481534,6.64058901044213,6.53179924124781,7.19026862692497,6.9791537164236,6.87641528063026
A_33_P3380211,9.13650436610206,9.04988450309246,8.90754066391554,9.32638894363614,9.0202353727665,8.98969807504069,8.47553366215745,6.75130247457189,7.00612360596187,6.97886153676677,6.63273292088708,6.07308559932853,8.42304007843129,7.75643595425489,7.19057247530726,7.21459921332457
A_23_P348749,10.859496512047,9.77835555001167,10.3289701766072,10.9391297406731,10.4117235721931,10.6822106805345,10.7494353457972,7.03081287012999,8.56443803208755,7.8197645007524,8.96320520732614,9.63628036871776,8.60466009160203,9.93932313287925,8.91535868518874,9.64815659453667
A_23_P392476,6.31934621806876,5.21604576089554,5.12724979138305,6.30230914988641,5.44545221239562,5.89210460508658,6.31255551495393,3.94668018550425,2.78412884380874,1.83593504005037,3.41963440046782,3.15189264082668,3.2687649931163,3.61258349811905,3.63815592156329,4.56685827487011
A_33_P3346771,6.14620122106399,4.98074319527145,5.6054079077121,6.22546212681052,5.26259132456215,5.31902024155287,6.22063387143421,2.99108340573426,3.71912410826974,3.83422663463585,3.41963440046782,3.15189264082668,4.45619559333345,4.03458623735107,2.12450005891496,5.10253041538581
A_33_P3384078,4.52439022554053,4.6118043582175,4.40178119783779,5.01181800787198,4.39964678901879,4.82244761624006,5.04770014991565,3.84367823182261,3.71912410826974,4.09651136629572,3.72935790181206,3.88698497604456,4.04281576826876,4.08858332764439,3.30570914665532,3.83738405210939
A_33_P3297853,7.58400476975945,7.09553636281036,7.09223607414115,7.4134752608154,6.95580341934182,7.5563677821634,7.69314337662699,5.37549853100539,6.15065021548604,5.72572639094909,4.53220525414548,5.32465611671706,5.3667840958811,5.03949851296131,5.52397615023877,5.88525607694342
