"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR","PR"
"AFFX-HUMGAPDH/M33197_M_at",3.32192809488736,7.65105169117893,3.32192809488736,3.70043971814109,3.32192809488736,3.32192809488736,3.32192809488736,6.28540221886225,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.0389189892923,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,8.39660478118186,7.08746284125034,4.64385618977472,7.75488750216347,7.59991284218713,4.4594316186373,4.58496250072116,3.32192809488736,6.12928301694497,3.32192809488736,7.63662462054365,8.29001884693262,8.12928301694497,7.27612440527424,8.29001884693262,7.92481250360578,7.86418614465428,3.32192809488736,5.83289001416474,5.08746284125034,7.90689059560852,7.6724253419715,3.32192809488736,7.40087943628218,8.2045711442492,8.33091687811462,8.467605550083,8.23840473932508,8.11894107272351,8.42206476617281,8.2240016741981,8.10852445677817,8.05528243550119,4.58496250072116,3.32192809488736,7.15987133677839,7.27612440527424,7.4093909361377,8.98013957763916,3.32192809488736,3.32192809488736,6.06608919045777,3.32192809488736,7.03342300153745,3.32192809488736,3.32192809488736,7.4093909361377,7.24792751344359,3.32192809488736,8.0389189892923,4,7.56985560833095,7.60733031374961,6.55458885167764,7.17990909001493,7.61470984411521,7.8008998999203,8.20945336562895,8.48784003382305,7.53138146051631,7.08746284125034,3.32192809488736,7.8703647195834,8.21916852046216,7.96000193206808,8.33539035469392,8.21431912080077,7.15987133677839,8.34429590791582,7.85174904141606,7.60733031374961,8.04439411935845,3.32192809488736,7.67948009950545,8.84549005094438,8.16490692667569,8.33985000288462,8.7176764230664,8.5352753766208,7.13955135239879,8.66177809777199,7.89481776330794,7.92481250360578
"AFFX-HSAC07/X00351_M_at",7.02347715183043,8.93073733756289,3.70043971814109,6.85798099512757,6.06608919045777,7.36632221424582,3.32192809488736,6.96578428466209,6.68650052718322,5.08746284125034,4.85798099512757,4.85798099512757,10.1674181458317,4.32192809488736,7.05528243550119,7.13955135239879,5.39231742277876,6.4594316186373,5.28540221886225,6.93073733756289,8.82336724004623,6.02236781302845,8.84549005094438,9.19475685442225,7.58496250072116,7.74146698640115,7.53915881110803,6.85798099512757,5.75488750216347,9.36850646150769,10.1124395067816,9.85018683764577,8.8073549220576,10.2021238238305,10.0182001788132,9.69174351917128,6.37503943134692,6.96578428466209,8.00562454919388,9.69174351917128,9.28771237954945,5.83289001416474,9.11113567023471,10.0606959316876,9.85953478638265,9.6582114827518,9.52552080909507,9.00281501560705,9.68123841177781,9.73809225962049,9.12412131182919,8.91288933622996,5.12928301694497,7.38370429247405,6.93073733756289,5.58496250072116,8.74483383749955,7.54689445988764,3.32192809488736,6.33985000288462,7.77478705960117,4.58496250072116,9.31061278165953,3.32192809488736,5.78135971352466,7.07681559705083,7.49185309632967,6.06608919045777,9.17242750864548,6.79441586635011,7.35755200461808,9.22641219278879,3.8073549220576,9.03066713624694,9.21431912080077,8.70043971814109,9.06069593168755,9.2667865406949,8.92481250360578,8.70043971814109,3.32192809488736,9.3264294871223,9.35314682549808,9.69348695749933,9.4858293087019,9.7262181593322,8.94544383637791,9.70043971814109,9.2667865406949,9.13699111208023,7.07681559705083,3.32192809488736,7.8073549220576,8.70043971814109,9.9901039638575,9.54303182025524,9.45738087907253,9.29232163280204,7.85798099512757,9.34207466799914,8.12928301694497,9.2667865406949
"31330_at",8.68860001099912,9.09539702279256,4.8073549220576,7.65105169117893,6.32192809488736,8.66888498426625,3.32192809488736,9.06339508128851,3.32192809488736,3.32192809488736,7.23840473932508,6.65821148275179,8.86108690599539,4,7.5077946401987,3.32192809488736,5.64385618977472,5.7279204545632,5.4594316186373,9.81538329581354,8.81378119121704,3.32192809488736,8.81698362325538,8.78463484555752,8.48784003382305,8.5352753766208,8.61470984411521,8.81698362325538,3.32192809488736,9.05528243550119,8.85486838326024,9.44914864537544,9.03617361255349,8.82654848729091,8.78135971352466,9.3151495622563,5.35755200461808,9.03066713624694,8.22881869049588,8.74483383749955,9.07414146275251,4,9.37503943134693,9.2667865406949,9.23122118071119,9.29232163280204,9.18982455888002,9.283088353024,9.29001884693262,9.49585502688717,9.36413465500805,9.42836017270429,8.83289001416474,7.94836723158468,9.17990909001493,9.56605403817109,8.55458885167764,9.71080643369935,6.64385618977472,8.06069593168755,9.25029841790633,7.91288933622996,9.57931593758001,6.35755200461808,8.71080643369935,9.20212382383046,9.03066713624694,5.70043971814109,8.7279204545632,8.27612440527424,10.0552824355012,8.95419631038687,9.66711154207503,9.2807707701306,9.3264294871223,9.43462822763673,9.73809225962049,9.55074678538324,9.51766938813381,8.83605035505807,3.32192809488736,9.29232163280204,9.76487159073609,8.54303182025524,9.40514146313634,9.67065624911844,9.35755200461808,9.39874369193819,9.6582114827518,9.13185696060879,9.90538700501813,3.32192809488736,9.65284497300198,10.0633950812885,9.39231742277876,9.22158712126481,9.92332748541919,8.96866679319521,9.25738784269265,9.93663793900257,9.44086916761087,9.2667865406949
"31385_at",8.97556140627362,9.49185309632967,3.32192809488736,6.96578428466209,3.32192809488736,6.68650052718322,3.32192809488736,8.4093909361377,3.32192809488736,3.32192809488736,6.93073733756289,6.35755200461808,9.41574176829009,3.32192809488736,6.94251450533924,4.39231742277876,3.32192809488736,4.90689059560852,3.32192809488736,9.08480838780436,9.4262647547021,3.32192809488736,9.25502856981873,9.35755200461808,8.75488750216347,9.07948478382682,9.3037807481771,8.87958324961278,3.32192809488736,9.19721669311005,9.2667865406949,9.79279029430106,9.52356195605701,9.38154295118458,9.7632123668144,9.55650605467193,3.32192809488736,9.55458885167764,8.2336196767597,9.15734693536284,9.32418054661874,3.32192809488736,9.62388149001346,9.70043971814109,9.46964181723952,9.59245703726808,9.61654884377899,9.36194377373524,9.56033283421244,9.53332973230583,10.2749604721406,10.1241213118292,7.04439411935845,8.62205181945638,9.52356195605701,7.70043971814109,9.467605550083,9.09275714091985,3.32192809488736,7.45121111183233,9.78953364497036,6.12928301694497,10.1459321458205,4.95419631038687,8.40514146313634,9.36632221424582,10.0042204663182,3.32192809488736,9.61838550225861,9.61654884377899,10.1636496760158,9.79279029430106,5.75488750216347,9.78299820892041,9.66888498426625,10.1059085085712,10.2514824106202,9.9614496943982,9.75488750216347,9.77478705960117,3.32192809488736,9.65642486327778,10.4356702609366,8.86418614465428,9.97584796800678,10.3509391815464,10.0098286173681,9.82654848729091,9.78626962764847,9.47775826644389,9.467605550083,3.32192809488736,9.2045711442492,10.0098286173681,10.1006623390052,9.65463602852797,10.0361736125535,9.40514146313634,9.64925617751731,10.3454052467178,9.65105169117893,9.90989308377004
"31396_r_at",7.63372181264101,3.32192809488736,5.70043971814109,8.8703647195834,7.13955135239879,8.35314682549808,3.32192809488736,5.97727992349992,9.4093909361377,5.52356195605701,7.4093909361377,8.4178525148859,3.32192809488736,10.0834793273318,4.90689059560852,9.29232163280204,5.64385618977472,8.68650052718322,5.7279204545632,3.32192809488736,3.32192809488736,9.63843591399047,7.78790255939143,6.89481776330794,3.32192809488736,3.32192809488736,3.32192809488736,6.14974711950468,9.68299458368168,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,7.44294349584873,3.32192809488736,5.12928301694497,8.6724253419715,7.37503943134692,3.32192809488736,10.0126245388651,4.85798099512757,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,6.90689059560852,3.32192809488736,5,3.32192809488736,4.24792751344359,6.78135971352466,5.64385618977472,3.32192809488736,8.2336196767597,8.42206476617281,7.14974711950468,8.4594316186373,3.32192809488736,8.84235034341381,8.29001884693262,7.82017896241519,7.64385618977472,3.32192809488736,4.70043971814109,7.10852445677817,7.45121111183233,3.32192809488736,7.20945336562895,3.32192809488736,3.32192809488736,7.5077946401987,3.32192809488736,5.35755200461808,5.83289001416474,5.70043971814109,4.75488750216347,3.32192809488736,3.32192809488736,3.32192809488736,5.70043971814109,6.10852445677817,7.33091687811462,3.32192809488736,4.58496250072116,3.32192809488736,3.32192809488736,3.32192809488736,6.53915881110803,3.32192809488736,6.56985560833095,3.32192809488736,3.32192809488736,3.32192809488736,3.32192809488736,5.85798099512757,3.32192809488736,3.32192809488736
"31505_at",8.88233736124948,9.42206476617281,3.32192809488736,7.02236781302845,8.0389189892923,8.00562454919388,3.32192809488736,9.3264294871223,3.32192809488736,3.32192809488736,9.04439411935845,7.99435343685886,9.3151495622563,3.32192809488736,8.22881869049588,3.32192809488736,3.32192809488736,7.01122725542325,3.32192809488736,9.95128471496697,9.51175265376738,3.32192809488736,9.17990909001493,8.98584193700334,9.38154295118458,9.08214904135387,9.24317398347295,9.00281501560705,3.32192809488736,9.22641219278879,9.03066713624694,8.84549005094438,9.3264294871223,8.96578428466209,9.29920801838728,9.17741953798924,8.42206476617281,9.33762190199251,8.28540221886225,8.95128471496697,9.14974711950468,3.32192809488736,9.68123841177781,9.27146302790437,9.68474862042163,9.86727873970966,9.74819284958946,9.55650605467193,9.60917873814198,9.79928162152192,9.79116288855502,9.64385618977473,8.43045255166553,8.53138146051631,9.41362792902417,8.91288933622996,8.72109918870719,9.65284497300198,9.51963625284321,9.4757334309664,9.75321674917896,9.13955135239879,9.9957671508778,3.32192809488736,9.96000193206808,9.60177078840771,9.56985560833095,6.98868468677217,9.46964181723952,9.25974326369078,10.1522848423066,9.33091687811462,9.63299519714296,9.57364718749332,9.79603960882977,10.1267044728432,10.0861362250273,10.2749604721406,9.78790255939143,9.2667865406949,3.70043971814109,9.36413465500805,9.86418614465428,9.01122725542325,9.78953364497036,9.83920378809694,9.55650605467193,9.75988818322183,10.4908508767403,9.62935662007961,10.1761731491075,3.32192809488736,10.0901124196643,10.3049216695817,9.32192809488736,9.7176764230664,10.1497471195047,9.30833903013941,10.4848228942621,9.57175264350355,9.8008998999203,9.00281501560705
"31527_at",8.79863380155554,8.78463484555752,7.15987133677839,7.91886323727459,7.4594316186373,7.95419631038687,7.86418614465428,8.85798099512757,3.32192809488736,5.52356195605701,6.52356195605701,7.28540221886225,9.23840473932508,3.32192809488736,7.19967234483636,7.83289001416474,5.4594316186373,6.91886323727459,7.13955135239879,9.80413102118332,9.30606168942834,3.32192809488736,9.1006623390052,8.78790255939143,7.4594316186373,8.18982455888002,8.33985000288462,8.72451385311995,3.32192809488736,8.82654848729091,9.13955135239879,9.67771964164101,9.29001884693262,9.37721053038855,9.36194377373524,9.42206476617281,7.7279204545632,8.09803208296053,7.70043971814109,8.72451385311995,8.85486838326024,4.52356195605701,9.29691620687929,9.41996017784789,9.24079133216196,9.26912667914942,9.41574176829009,8.84862294042934,9.16741814583174,9.37503943134693,10.3106127816595,9.78135971352466,8.38370429247405,8.17990909001493,9.21431912080077,9.69174351917128,9.11113567023471,9.83920378809694,9.1873520732005,7.12928301694497,9.2644426002266,8.62935662007961,10.4115109880121,7.27612440527424,9.47167521439204,9.98584193700334,9.84549005094438,7,9.59058704991503,8.99717948093762,10.4346282276367,9.68825030913318,9.4178525148859,9.89026427702111,9.64385618977473,10.2384047393251,10.2726297849764,9.82017896241519,9.74651432113846,9.14974711950468,7.94836723158468,9.46964181723952,10.4828079567267,8.467605550083,10.0579917227592,10.3060616894283,9.78790255939143,9.83130724380205,10.3140167039014,9.54496443278924,10.0552824355012,8.48381577726426,9.90689059560852,10.4325419003883,9.60547951806167,9.65463602852797,10.2455527062557,9.19967234483636,9.40726776424473,10.4868350215631,9.45121111183233,9.78790255939143
"31538_at",9.25290192045027,9.29691620687929,3.32192809488736,8.51175265376738,7.82017896241519,8.7279204545632,3.32192809488736,9.29232163280204,3.32192809488736,3.32192809488736,9.10590850857116,8.34429590791582,9.32192809488736,3.32192809488736,7.3037807481771,3.8073549220576,3.32192809488736,6.91886323727459,4.8073549220576,9.97871045910636,9.29001884693262,3.58496250072116,9.43879185257826,9.41996017784789,9.21431912080077,9.07948478382682,9.34207466799914,9.05256805080415,5.64385618977472,9.23122118071119,9.01959072835788,9.56224242422107,9.16239132875691,9.16490692667569,9.34207466799914,9.07948478382682,7.21916852046216,9.36413465500805,7.98299357469431,8.81378119121704,9.2336196767597,5.6724253419715,9.25029841790633,9.19475685442225,9.24079133216196,9.43462822763673,9.40087943628218,9.00842862207058,9.15228484230658,9.29691620687929,10.0484868739923,9.96722625883599,10.0042204663182,8.93663793900257,10.0794847838268,10.0993478104032,9.41574176829009,9.8811139606751,8.4093909361377,9.04165915163721,9.94251450533924,9.1006623390052,10.2550285698187,7.03342300153745,8.94544383637791,10.3309168781146,10.1331422124006,6.39231742277876,9.4655664048094,9.467605550083,10.5736471874933,9.69870466677034,10.7210991887072,9.5274770060604,9.82177398197057,10.0741414627525,10.2455527062557,9.78626962764847,9.75988818322183,9.60177078840771,4.75488750216347,9.35314682549808,9.3264294871223,8.73809225962049,9.78463484555752,10.1305705628054,10.0320457269308,9.5077946401987,9.86573327085176,9.34651373316563,10.1674181458317,4.58496250072116,10.0593444608244,10.0182001788132,9.65463602852797,9.37503943134693,9.86108690599539,9.45532722030456,9.62753388447279,9.44294349584873,9.60177078840771,9.74651432113846
"31545_at",9.62278396615612,9.7632123668144,8.74819284958946,9.91288933622996,9.20701432017753,10.1959872980285,4.16992500144231,10.1163439612375,3.32192809488736,3.32192809488736,9.92035285541508,9.37503943134693,9.88874324889826,3.32192809488736,7.90689059560852,3.32192809488736,3.32192809488736,8.77478705960117,3.32192809488736,10.5343028824546,9.7176764230664,3.32192809488736,9.44501484586842,9.5980525001616,9.79116288855502,9.88722061546838,10.3037807481771,9.86263735755879,3.32192809488736,9.76983784362944,9.45121111183233,9.85798099512757,9.93221475196838,9.55650605467193,9.7431513941125,9.68825030913318,9.2240016741981,10.7838167593202,8.92481250360578,9.36194377373524,9.61102479730735,3.32192809488736,10.1774195379892,10.0112272554233,9.7797193551434,9.66711154207503,9.81057163474115,9.51175265376738,9.78135971352466,9.85642552862553,10.4604558963096,10.2203783276952,11.0894504811159,9.90086680798075,10.2854022188622,11.1273495410591,9.96000193206808,10.0566377151132,9.54689445988764,9.95710204156229,10.427312844135,9.96000193206808,10.6812384117778,8.85174904141606,10.4083297407674,10.7431513941125,10.4429434958487,3.32192809488736,9.7431513941125,9.79441586635011,11.1395513523988,9.87958324961278,11.3723209548673,10.1823943534045,9.83130724380205,10.4210128557792,10.5313814605163,10.1331422124006,10.3728650601126,10.3476213685681,6.08746284125034,9.82495874052852,10.3049216695817,9.38801728534514,10.2573878426927,10.467605550083,10.4252159032994,10.2057932493972,10.8008998999203,10.1636496760158,10.8320988460391,3.32192809488736,10.5840229402575,10.5216004397237,10.0525680508042,10.0687782779854,10.3387363825739,9.59618975614441,10.2455527062557,10.5507467853832,9.81378119121704,10.0647427647503
"31546_at",8.02292258905563,8.70735913208088,5.08746284125034,7.34872815423108,5.28540221886225,7.77478705960117,4.08746284125034,8.4093909361377,4.24792751344359,4,6.52356195605701,5.35755200461808,8.4594316186373,3.32192809488736,6.5077946401987,3.32192809488736,4.32192809488736,5.12928301694497,5,9.3151495622563,8.38801728534514,4.85798099512757,8.41362792902417,8.2240016741981,7.70735913208088,7.89481776330794,8.03342300153745,8.37937836707126,5.04439411935845,8.36194377373524,8.11894107272351,8.73131903102506,8.70043971814109,8.17492568250068,8.61838550225861,8.48784003382305,3.32192809488736,8.17990909001493,7.44294349584873,7.93073733756289,8.61102479730735,7.04439411935845,8.66888498426625,8.48784003382305,8.91288933622996,8.9915218460757,8.98584193700334,8.78135971352466,8.82017896241519,8.8703647195834,8.85174904141606,9.25974326369078,8.04439411935845,7.2667865406949,8.74483383749955,8.43879185257826,8.68299458368168,9.29691620687929,4,7.07681559705083,8.77807712953536,6.68650052718322,9.22158712126481,5.88264304936184,7.98299357469431,8.59618975614441,8.58871463558226,5.4262647547021,8.63662462054365,8.27612440527424,9.43462822763673,8.7176764230664,8.25266543245025,8.69348695749933,8.82654848729091,9.12153351734003,8.89178370321831,9.08214904135387,8.74819284958946,8.62570884306447,4.70043971814109,8.88264304936184,8.97441458980553,7.93663793900257,9.04165915163721,8.99717948093762,8.7714894695006,9.10328780841202,9.11894107272351,8.5077946401987,9.34207466799914,5.4262647547021,9.10328780841202,9.51766938813381,8.5274770060604,8.90989308377004,9.2644426002266,8.93369065495223,8.90989308377004,9.37068740680722,8.92481250360578,8.95128471496697
