"","benign","benign","benign","benign","benign","benign","primary","primary","primary","primary","primary","primary","primary","metastatic","metastatic","metastatic","metastatic","metastatic","metastatic"
"1552365_at",7.29241366782748,8.03490898278939,7.44335800383632,6.84348142543246,7.28762004411207,7.81851826930831,10.4879505424419,7.94714012703881,8.13729858092114,10.1029598859101,9.1640269662697,9.58033395129335,9.32660925100527,7.87005641847295,8.64295422348033,8.45191167929957,8.90373124340389,8.29204549249286,8.57587955414895
"1552367_a_at",3.52356195605701,5.74899785009815,2.95046841415012,6.16972461321491,4.03562390973072,2.98550043030489,8.59991284218713,5.98663847173085,6.90893296724454,7.72362681757132,7.27015513876653,7.55251540676725,7.19021976366016,5.80322703643493,6.42021289061078,6.89336221076387,7.77912836925098,6.85012431429571,6.11873347576784
"1552457_a_at",6.63255905211795,7.41015451375957,5.77241355474848,8.75338391157308,7.9920319427385,7.91981677005279,6.1554254317472,3.22804904788446,6.77636722957392,3.90496571868403,2.51096191927738,5.68032435684402,5.2637856138908,3.55704241526372,1.93357263826102,3.60999129521268,4.79181407116183,2.28095631383106,6.02192383855476
"1552511_a_at",8.6047014752878,8.11045720926279,8.95506864440976,8.61393676467853,8.75037202104098,8.8006087437406,7.40173284952262,6.64529816394863,7.10611795907107,7.83655536776678,8.19864148016879,7.90080644290863,6.84699468696557,5.88484209379946,3.16349873228288,2.21412480535285,2.56071495447448,2.0036022366802,2.18269229751619
"1552620_at",7.64803395056383,7.56597790449784,8.14593214582051,7.46809451637844,7.59723318908613,7.84937382266743,8.09987376558251,8.4893663128583,9.28888913865037,8.5612115595535,8.45347642461662,8.40671522735959,8.43999705958452,8.55949181320504,8.24911345271373,8.77778133029823,8.67940972242107,8.49000847390641,8.49157254501724
"1552711_a_at",9.23292452332581,9.29089433860825,9.15863493200134,9.14923903883703,9.31329120743278,9.15238625842844,8.60433083119963,8.63092233295891,8.73626661945917,8.31867837373655,9.03878184446204,8.49817107024133,8.86718605825043,8.42601309989885,7.9047249283904,7.94795831269521,8.53686884930274,8.15426117190118,7.84649331596456
"1552770_s_at",8.22809716257842,9.78971295185491,8.32553033156756,8.3774274607011,8.95701495472619,9.13870697527236,7.96987573146984,6.32858517678881,7.90695070664958,8.4237882405893,8.11571995818237,7.39617661823439,7.64508195968104,7.58443642224862,7.57976847680609,8.11831819221838,7.13545278418517,7.45967751160853,7.57076649652761
"1552863_a_at",8.13211410258272,8.60303282649962,8.4360452087539,8.21110956432488,8.13319359866411,8.05419729438881,8.4605378071165,8.72082566608984,9.16879745543659,8.96202839277775,8.96840760314016,8.70870455970848,8.68587008579677,9.24286446123701,8.5808238499628,8.98176704780058,9.4835336584728,8.6241374588201,8.7994435310716
"1552942_at",7.23744899563932,7.25370568980906,7.08140354506251,7.01814452894376,6.93852104586597,6.79610452053215,7.20564665142854,7.3498783113172,8.14220919138924,8.1652587606101,7.18784690943957,7.35517487863531,7.48260630810786,7.71534429535891,7.27770584887942,8.16907315918305,8.36119811554875,7.30048984436311,7.98139603197215
"1553139_s_at",6.80915716469159,5.97956810009519,6.76831667604906,5.77346892790519,6.08618931310448,6.61087719947195,6.83895176695194,7.00562454919388,6.81262657327555,7.66895587662964,7.19593810042783,6.82705683650015,6.93699120881805,8.08624239922819,7.28410691122874,7.30997649237056,7.53729606709084,7.98777561614291,7.59723318908613
"1553411_s_at",8.24098208914239,7.12814902528633,7.77379857375168,9.62095290227168,8.73189599365658,9.01063999258339,6.49153246180432,6.59991284218713,7.69041709553247,7.42113912553038,6.67849450777373,6.49777201759007,6.94333531775511,6.27947129564447,6.86851392389546,5.34482849699744,5.52042224852645,5.86591881455221,5.54565954002547
"1553417_at",5.67835365397417,5.79986441088185,3.39780296186249,5.62819033461521,5.47248777146274,4.48992821940518,6.19515071056471,6.78985964091365,6.65191274464578,6.50366675457602,5.71397069243605,6.59290547379686,5.77267747042486,6.79038108125217,6.73362549840823,6.58586390346269,7.00393948568806,6.47800105583793,6.10265813136374
"1553447_at",7.42995065740377,9.13558104084534,6.84987419379562,8.3415410611477,8.05782930892248,7.98572811041913,5.83466065790173,5.82629424549963,6.51569983828404,3.7771566660045,5.32445060465607,3.68594014844598,5.48413813120167,6.90725122429203,4.73172632271578,6.15400794755902,3.62058641045188,5.81762325751143,5.22226360352835
"1553718_at",9.74370681736167,9.76868057945391,9.99912622868965,9.7555886418507,9.72703551172131,9.94001988887116,10.1315097462266,10.1699250014423,10.5227090241633,10.6536153993879,10.256692258307,10.0578834488996,10.1828784813445,10.1491882209276,10.1323326372307,9.85810536002924,10.4171035533483,10.1519678709682,10.20644054563
"1553764_a_at",9.4129931728179,8.64410863931819,9.41724071623249,8.73596212136655,9.31133962595522,9.0662237639424,8.01262453886506,8.94019612101123,8.09803208296053,8.92999806260903,8.52006860346011,8.53807250273785,8.58394774898005,8.11467935294331,7.40096480032711,7.19996674235619,6.99717948093762,7.4245862262511,7.29682445864937
"1553861_at",2.34198574722862,5.12474169241965,4.70597790168252,5.84297883178833,5.45746296464855,0.985500430304885,6.62190534551941,5.67553368622549,6.5528996029403,7.40760768179143,6.65749710044411,6.13422093976063,6.36754580010534,6.79415589787641,6.70362677086498,7.04023491675437,7.13801575348757,5.77636722957392,6.73701067768181
"1553957_at",8.55455048161843,9.35142515314692,8.96866679319521,8.62614706360372,8.71801906528173,8.69324300293045,8.07210580048042,8.2045711442492,7.84830995744929,8.61069268094037,8.67429821493159,8.30947635384111,8.2788675701031,8.5421806498881,8.18839103334069,8.19702006028422,5.7899900186681,7.7943508786233,7.75662303520315
"1553959_a_at",9.43041073381191,9.64864519347183,9.32111635060237,9.56136432673203,9.4938354394621,9.18159953482323,9.99211694131711,9.91046285078348,10.0028009541834,10.2157513895293,10.09581895598,9.88964084943563,9.9530760416966,9.46141805470159,10.369030189142,10.9350839970437,10.8059453518029,10.4036511855322,10.428559079208
"1553973_a_at",5.99140846676479,6.36334632097502,5.39609097039437,5.94860084749336,2.73768676140986,6.34536088953964,6.34216358328935,7.22023320438219,7.77162151792327,7.51861381784899,6.7894684369412,6.74281466986289,6.69195284304767,6.38456792317383,7.73050410252991,6.24507727535967,6.75475391310454,6.52324829260521,7.08353251326541
"1553984_s_at",9.4666271200415,9.82856494384411,9.58379735466745,9.71724800582765,9.79016926884425,9.70615062781753,9.9904302001836,9.92460469305762,9.89684701968583,10.2435072408634,10.1029205302006,9.79313181639822,9.92856278796701,10.4357848386642,10.2905142561664,10.007461832597,10.4392595093155,10.2349251802501,10.3373096930881
"1553989_a_at",7.1243281350022,8.37251685639621,7.23189316164533,6.88313201565728,6.99898524825889,7.32102612859297,6.62014649733949,4.58255600301406,6.69627208392586,4.52293456094346,4.01970191444255,5.85748342828667,5.44956137461324,4.48220292629596,6.3931759143488,6.8245132973348,6.81198471935167,4.55274593674845,4.76394266044725
"1554007_at",12.4134613325515,11.6650649422391,12.1184544703104,11.8447214543216,11.8478364416399,12.0436391026902,10.9133457183802,10.8409273771719,10.6165855998723,10.7714069330985,10.8861080774447,10.99259850536,11.3235051802769,11.4496851703636,9.70153173008267,8.49661414031741,5.94719858426206,9.62665815271993,10.0898873946326
"1554020_at",6.6471705782814,6.80077050442796,6.52309143530243,7.01480160235136,7.16178693199864,6.39591965945896,8.8140055929926,9.00660659476943,8.40624753080657,8.06598152263124,8.73176025850034,8.63825488694451,8.70787675274333,9.36128586004707,8.23869133900967,7.64104018795002,7.98646782273617,8.22857822128274,8.66252596799174
"1554050_at",6.89941734867508,5.12060077384517,7.28937340766795,6.51143641197723,6.81082866218542,7.07734982962161,6.54163873443614,7.85131179484781,8.45536832214188,8.49785183695112,8.2740286490558,8.11030059602522,8.01089170592973,7.62212505084853,8.11040500673928,7.98663847173085,8.7627142273006,8.36207532047705,8.07087229225708
"1554079_at",8.52716419273721,8.26613062113785,8.86415518520105,8.71582474757611,8.64943582947457,8.49253420818245,8.7110818623067,9.93838872022148,9.35466813256157,9.56040926636212,9.24350724086339,9.3871126257697,9.48208188975569,9.1873520732005,9.7044051427954,9.09457917591702,10.1167728068298,9.55633361069608,9.56479731850792
"1554089_s_at",11.5825842274166,10.8950223326592,11.8862071738517,11.563830232181,11.6773144322873,11.5588607255506,10.8159276063429,11.1354912623805,10.6401183784749,11.0142157929778,11.0246618154407,10.7795223867438,11.2839680592653,10.1167987933752,9.5317908158924,10.6969501442616,10.5461902991795,10.3295160672065,10.326103607982
"1554408_a_at",6.09971599916091,7.3056969810801,7.4757334309664,7.6202931499486,7.76950729143624,6.32571020751578,8.39895740870636,7.71993635927244,8.0065785455993,8.60358925723337,8.37625564931336,7.91510256371018,8.12039341559244,9.49275449907121,9.40875431258943,8.61272108796825,8.48163800221041,9.39324028062742,9.20415539255846
"1554418_s_at",8.41717741190639,7.63270444844369,8.60562766912371,9.61542733284893,8.57266233511535,8.76729063596618,6.98572811041913,8.03809592468451,7.91617804254471,7.27071580787426,6.64659470958165,6.99401393925972,6.93191939010004,5.49825086752783,6.22052343641151,2.81762325751143,4.83289001416474,5.97407036702403,5.68313498512609
"1554436_a_at",9.12804589092299,7.69787110035057,6.86009374182855,10.3842117381526,9.57163889170979,9.53683000504806,6.38404980679516,5.13996056954546,7.05701696536554,7.47840561405288,6.72560484100889,6.82870773545514,7.07006726180213,5.77320515698557,2.22342254993494,6.55197736018086,6.87221314397577,5.1407786557828,5.73579292798531
"1554479_a_at",8.89533291955012,8.6276797880976,9.29234464210884,8.97363997301892,9.36257947189997,9.07014778506511,9.42395627425468,9.35303652349559,9.29888738386193,9.46123386127128,9.64634269472578,9.38249434029312,9.12773644358883,9.5528996029403,9.52430663355563,10.2201122571356,9.56837418729809,9.82400405093315,9.92811859933867
"1554516_at",7.39925655900399,7.66966460873315,7.65821148275179,6.22804904788446,7.10601323762212,7.95541743038314,7.84617987058542,8.2881739681123,8.69055677651635,9.0275743044105,8.21018427590764,7.79759668417008,8.07692245939234,8.75197914511264,8.12023787734196,8.44695920697887,8.7399493361685,8.20998940270423,8.01580529391335
"1554591_at",10.3566500383237,10.6803683150472,8.9534107585317,10.5867459815935,10.3917054357237,10.3763967510828,9.35720008486005,6.92445623862289,7.77491880655719,7.78358761201847,7.72505945019212,7.834281417144,8.57988158943627,7.39283257902094,7.11207455130967,8.17756903232033,6.82603995889619,7.38681094647222,7.22332600661902
"1554636_at",8.21359030288131,8.42088657497553,7.45022149589718,8.46348350314438,8.42395627425468,8.18794585632353,7.28364401937092,7.47224405239115,6.61970645004589,6.99480597608493,6.7935057716697,7.29590665529703,6.9505850568345,4.29719141656586,6.60496086950378,5.65334669272218,4.87970576628229,6.28281043957256,6.80464732969411
"1554648_a_at",8.42508998987406,8.0222568322183,7.91462431565015,8.98176704780058,8.48325148450227,8.69128987988853,7.36710892427579,6.94988505922693,7.84780904340723,7.13822059447057,7.57765541155702,7.10622267291912,7.41057854898612,6.67440415393769,6.48590979153593,6.10789706166461,7.07456965746987,5.89627184880738,4.23266075679027
"1554661_s_at",7.12132629311662,8.07210580048042,7.12246565817924,8.24155420879597,8.16057737834079,7.95093492831454,8.49789174497565,8.2861418728343,8.50143914515887,8.72345617126795,8.22612314312524,8.34806418472904,8.65885412451886,8.1101961777542,8.50167798218299,8.74311772522393,8.55956828992275,8.2922756130875,8.52751610295721
