	"ALL_1"	"ALL_2"	"ALL_3"	"ALL_4"	"ALL_5"	"ALL_6"	"ALL_7"	"ALL_8"	"ALL_9"	"ALL_10"	"ALL_11"	"ALL_12"	"ALL_13"	"ALL_14"	"ALL_15"	"ALL_16"	"ALL_17"	"ALL_18"	"ALL_19"	"ALL_20"	"ALL_21"	"ALL_22"	"ALL_23"	"ALL_24"	"MLL__1"	"MLL__2"	"MLL__3"	"MLL__4"	"MLL__5"	"MLL__6"	"MLL__7"	"MLL__8"	"MLL_9"	"MLL_10"	"MLL_11"	"MLL_12"	"MLL_13"	"MLL_14"	"MLL_15"	"MLL_16"	"MLL_17"	"MLL_18"	"MLL_19"	"MLL_20"	"AML_1"	"AML_2"	"AML_3"	"AML_4"	"AML_5"	"AML_6"	"AML_7"	"AML_8"	"AML_9"	"AML_10"	"AML_11"	"AML_12"	"AML_13"	"AML_14"	"AML_15"	"AML_16"	"AML_17"	"AML_18"	"AML_19"	"AML_20"	"AML_21"	"AML_22"	"AML_23"	"AML_24"	"AML_25"	"AML_26"	"AML_27"	"AML_28"
	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"ALL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"	"MLL"
"AFFX-PheX-3_at"	97.8	177	10	183	195	191	233	282	286	10	168	188	81	346	471	119	139	10	259	226	93	72	93	131	56	10	10	141	193	115	74	12	10	101	10	127	180	10	149	10	10	10	305	20	10	12	10	10	10	10	18	10	10	10	10	10	10	10	61	10	33	127	10	114	10	10	10	10	10	10	10	10
"AFFX-HUMISGF3A/M97935_5_at"	705.9	176	10	26	841	64	38	10	10	10	63	10	853	10	10	10	139	15	25	940	56	76	135	14	21	108	90	25	10	10	36	24	22	10	10	10	10	12	124	10	273	10	249	44	10	144	259	10	113	917	81	23	34	50	10	157	338	157	183	383	2920	830	571	338	108	1247	155	417	20	10	10	74
"AFFX-HUMRGE/M10098_5_at"	88.8	10	407	10	10	10	96	647	10	10	10	170	116	10	10	10	10	91	10	10	127	10	152	203	344	10	10	10	10	16000	13	10	157	10	1944	342	10	10	208	10	10	10	10	81	184	235	10	10	10	10	10	10	10	10	10	10	136	128	782	1376	194	10	10	327	10	211	574	10	117	1959	10	10
"AFFX-HUMRGE/M10098_M_at"	47.8	10	231	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	56	339	10	10	10	10	11589	10	10	10	10	1396	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	41	10	10	10	10	10	10	10	10	10	336	10	10
"AFFX-HUMTFRR/M11507_M_at"	296.5	94	313	10	141	10	174	502	10	14	10	87	134	17	10	10	330	10	81	10	369	10	10	11	23	36	56	10	12	55	32	10	10	10	124	94	96	20	204	10	159	145	29	10	2090	538	10	71	195	1179	235	10	723	10	10	2400	1291	158	243	401	2243	813	999	291	10	2466	1207	2564	10	10	10	10
"AFFX-M27830_5_at"	7070.9	317	16000	39	204	309	64	129	62	250	241	130	503	105	10	10	330	125	107	209	1931	10	1617	4343	2683	839	286	63	23	13068	484	312	33	227	10185	504	10	95	3033	433	348	10	63	111	211	295	79	10	10	10	10	10	10	229	320	78	532	80	745	1763	446	202	32	228	18	291	477	495	340	933	541	199
"31312_at"	10	290	10	34	183	70	34	100	10	10	136	82	10	165	10	10	10	10	97	10	10	72	140	158	10	87	259	10	10	10	10	32	55	10	37	10	10	10	148	117	68	10	126	115	184	10	10	10	10	128	104	177	229	121	176	10	189	127	242	170	10	10	10	10	10	116	67	10	162	10	10	181
"31314_at"	139.5	41	10	118	233	77	93	158	73	319	179	10	67	502	10	74	171	63	214	259	10	10	10	58	290	202	200	10	10	10	10	384	240	402	10	49	176	10	167	183	10	10	113	149	10	54	164	10	10	10	10	70	10	10	10	10	149	10	10	10	287	10	210	10	10	10	90	12	33	10	64	10
"31315_at"	31.6	4602	498	10	38	1038	10	591	43	10	10	94	5787	866	10	10	10	10	10	1397	10	1659	1346	10	10	10	247	10	10	92	10	10	10	264	10	10	649	10	10	567	10	10	2315	10	2596	10	10	587	10	10	280	10	885	10	10	3977	997	651	168	10	1240	10	611	2825	10	3303	669	101	1736	310	2528	150
