	GSM92240	GSM92241	GSM92242	GSM92243	GSM92244	GSM92245	GSM92246	GSM92247	GSM92248	GSM92249	GSM92250	GSM92251	GSM92252	GSM92253	GSM92254	GSM92255	GSM92256	GSM92257	GSM92258	GSM92259	GSM92260	GSM92261	GSM92262	GSM92263	GSM92264	GSM92265	GSM92266	GSM92267	GSM92268	GSM92269	GSM92270	GSM92271	GSM92272	GSM92273	GSM92274	GSM92275	GSM92276
	Serrated CRC	Serrated CRC	Serrated CRC	Serrated CRC	Serrated CRC	Serrated CRC	Serrated CRC	Serrated CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC	Conventional CRC
1405_i_at	10.3	24.1	14	26.3	25	39.8	14.1	14.7	11.3	10	10	10	18.5	12.4	10	37.1	20	10	10	11.8	10	19.2	57.6	18	16.6	25.1	355.9	49.3	10	13.2	30.8	36.7	71.4	16.4	17.7	23.6	11
1438_at	109.7	164.5	74.9	63.9	50.4	50.7	17.7	73.4	162.8	219.8	377.1	49.2	100.4	35.8	132.7	270.3	291.8	205	443	245.2	261.5	202.2	239.4	132.6	54.4	58.7	278.5	59.7	140.2	163.3	311.9	74.9	186	56.6	417.7	101.8	234.2
200628_s_at	178.1	70	260.9	138.7	187.9	145.3	29	83.8	105.2	23.6	34.4	15.9	25	232.9	73.2	64.4	22.8	127.8	28	245.4	86.3	106.5	21.7	106.8	55.7	20	767	63.3	56	322.8	273.2	90.3	500.9	224.8	143.2	200.5	68.1
200665_s_at	1096.5	853.3	1518.6	412.2	942.4	1272.4	1825.5	928.6	243.1	190.9	985.1	121.5	378.7	211	1337.3	341.1	57.5	615.9	788.5	208	1492.8	152.3	255.9	609	919.4	922.7	676.2	235.6	727.7	717.5	708	316.4	1220.7	788.3	929.2	1224.2	844.7
200671_s_at	39.4	55.2	46	44.2	11.5	10	10	51.2	40	10	52.4	10	10	14.4	31.3	10	69.7	10	38.3	58.4	10	10	10	50.5	10	10	26.4	72.9	15.6	88.5	68	10	89.4	56.4	10	10	44.1
200702_s_at	66.8	56.5	39.5	10	84.9	68.7	75	75.2	32.5	10	10	52.7	44.8	29.7	13	49.6	63.6	18.6	95.3	21.6	89.7	54.2	10.7	86.7	131.4	10	36.5	10	20.8	27.9	48.2	37.6	29.5	31.9	13.9	19.7	13.9
200724_at	31.5	21.4	33.4	10	57.5	27.8	40.6	10	24	46.5	48.9	39.1	21.7	44.9	53.8	46.2	19.7	12.5	41.4	43.2	71.5	10	84.3	49.1	69.7	10.6	30	69.2	44.4	63.9	37.5	26.9	45.9	20	25.7	16	68
200784_s_at	10	12.1	10	11.7	15.9	19.4	33	49.5	12.8	11.1	14.3	68.3	10	47.5	21.1	10	13.4	20.6	53.5	10	12.3	11.5	38.7	10	13	82	10	35.9	13.3	10	29.7	16.6	13.3	20.3	77	139.7	19.7
200799_at	191.8	179.7	432.9	1098.2	536.3	320.2	1361.3	236.4	71.6	294.9	205.5	3813	1320	365.2	186.3	100	55.1	2462.3	1134.8	332.6	1052.8	60.7	510.6	356.6	1066.7	112.1	373.8	840.2	310.7	1758.2	476.3	107.3	329.5	1599.6	188	245.2	620.8
200800_s_at	137.1	265.2	183.9	314	298	69.3	276.5	122	110	184.9	119	873.6	239.3	256.9	320.1	150.9	106.3	620.4	506.5	159.9	263.1	137.1	207.9	240.1	145.4	78.2	453.7	199.4	184.7	657.7	168.6	51.3	133	481	92.3	189.2	228.4
200831_s_at	222.8	161.3	162.5	52.4	219.5	87.6	42.6	99.4	98.7	156	134.4	137.2	49.6	301.1	219	126	38.1	118.4	136.5	165.2	121.8	77.7	41.9	109.9	75.3	124.6	75.8	31.7	423.7	176.8	177.6	82.9	38.6	73.8	103	101.7	240.5
200841_s_at	80.6	58.4	52.6	47	79.7	30	11.7	37.3	61.6	31.7	44.9	14	13.5	43.9	27.5	44.1	14	10	20.2	63.6	31.8	43.7	39	10	63.6	10	48.8	32.9	37	10	51.1	76	35.1	11.7	12.2	27.5	27.7
200884_at	108.5	86.3	90.4	158	77.2	127.8	273.6	1978.9	265.4	160.7	135.5	105.1	42.3	173.9	142.7	729.4	1871.2	736.4	948.4	111.9	208	251.5	247.6	1112.9	143.7	392.5	77.1	238.4	176.8	134.5	755.8	133.4	94.5	75.9	235.1	121.8	178
200897_s_at	379.1	550.8	701.6	452.1	553.1	814.8	1156.2	509.8	174.3	91.7	569.4	14.5	176.5	246.4	365.8	113.5	185.5	583.2	386.8	487.5	517.3	133.7	111.4	264.2	414.2	166.9	259.5	315	294.1	369.4	551.7	153.7	524.4	361.6	389.7	622.3	337.6
200908_s_at	30	66	27.2	43.1	26.1	69.9	61.9	72.9	37.9	54.2	52.1	154.2	86.4	20.7	125.8	34.6	59	46.2	27.1	43.8	37.8	33.3	341.5	66.7	47.3	91.5	73.3	289.7	251	30.8	241.9	35.5	60.6	50.9	55.9	24.2	273.4
200951_s_at	35.8	59	31	10	33.2	10	95.6	141.3	157.8	37.3	58.2	74.1	15.3	26.9	36	10	52.5	47.5	60.7	10	85.5	49.2	31.2	46.9	27.7	24.6	21.2	43.8	10	55.2	10	57.6	34.6	36.9	55	87	10
