	"Brain_MD_12"	"Brain_MD_61"	"Brain_MD_15"	"Brain_MD_57"	"Brain_MD_33"	"Brain_MD_64"	"Brain_MD_17"	"Brain_MD_62"	"Brain_MD_63"	"Brain_MD_32"	"Brain_MGlio_1"	"Brain_MGlio_2"	"Brain_MGlio_3"	"Brain_MGlio_4"	"Brain_MGlio_5"	"Brain_MGlio_6"	"Brain_MGlio_7"	"Brain_MGlio_8"	"Brain_MGlio_9"	"Brain_MGlio_10"	"Brain_Rhab_1"	"Brain_Rhab_2"	"Brain_Rhab_3"	"Brain_Rhab_4"	"Brain_Rhab_5"	"Brain_Rhab_6"	"Brain_Rhab_7"	"Brain_Rhab_8"	"Brain_Rhab_9"	"Brain_Rhab_10"	"Brain_Ncer_1"	"Brain_Ncer_2"	"Brain_Ncer_3"	"Brain_Ncer_4"	"Brain_PNET_1"	"Brain_PNET_2"	"Brain_PNET_3"	"Brain_PNET_4"	"Brain_PNET_5"	"Brain_PNET_6"	"Brain_PNET_7"	"Brain_PNET_8"
	"MD"	"MD"	"MD"	"MD"	"MD"	"MD"	"MD"	"MD"	"MD"	"MD"	"Mglio"	"Mglio"	"Mglio"	"Mglio"	"Mglio"	"Mglio"	"Mglio"	"Mglio"	"Mglio"	"Mglio"	"Rhab"	"Rhab"	"Rhab"	"Rhab"	"Rhab"	"Rhab"	"Rhab"	"Rhab"	"Rhab"	"Rhab"	"Ncer"	"Ncer"	"Ncer"	"Ncer"	"PNET"	"PNET"	"PNET"	"PNET"	"PNET"	"PNET"	"PNET"	"PNET"
"AFFX-BioB-3_at"	10	10	163	60	10	10	97	10	87	10	10	180	534	10	10	10	10	10	341	714	10	10	10	10	10	10	10	10	10	10	10	490	10	226	291	10	827	51	14	14	157	10
"AFFX-CreX-3_at"	10	238	10	10	10	10	76	131	10	10	124	229	10	10	79	10	85	10	10	10	10	10	10	55	10	119	17	10	26	10	327	10	10	105	300	349	471	10	10	10	256	271
"AFFX-BioB-5_st"	377	141	66	55	10	195	10	379	10	10	10	10	10	10	203	83	10	10	884	10	40	161	67	1206	339	16	10	10	10	205	121	10	288	121	10	128	10	35	336	10	10	241
"AFFX-BioB-M_st"	10	10	10	10	10	10	10	10	129	10	557	748	10	41	354	10	10	10	10	817	10	177	10	136	10	10	96	63	10	10	10	10	10	10	273	10	163	92	10	94	589	131
"AFFX-BioDn-5_st"	10	10	10	10	10	61	10	10	10	97	365	409	86	389	1097	10	441	307	233	14	10	170	147	703	444	10	10	10	10	175	10	10	291	578	10	10	1413	468	312	10	682	687
"AFFX-CreX-5_st"	10	10	10	10	283	10	68	10	10	30	45	16	10	10	10	58	10	26	10	192	10	67	10	10	10	10	10	10	10	15	60	442	10	489	10	10	10	10	79	10	10	10
"AFFX-DapX-5_at"	10	10	10	10	10	10	10	10	10	10	78	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1085	22	10	53	10	10	10	10	10	350	10
"AFFX-LysX-3_at"	10	10	73	10	10	245	17	10	10	69	67	262	10	10	10	10	81	10	32	183	102	25	75	169	10	45	10	55	10	10	127	10	250	10	10	33	557	10	267	101	10	10
"AFFX-TrpnX-5_at"	10	10	10	10	10	10	10	113	10	10	83	10	10	10	10	10	144	10	10	10	10	10	10	10	47	10	10	10	10	10	516	128	10	10	31	55	38	24	10	10	110	17
"AFFX-HUMISGF3A/M97935_MA_at"	10	10	10	10	10	15	10	10	10	10	10	207	10	10	10	10	749	10	10	10	10	10	10	1103	258	10	349	365	10	10	10	10	10	10	10	752	10	10	10	10	10	10
"AFFX-HUMRGE/M10098_5_at"	154	16000	2290	5124	267	8536	493	10	208	34	248	1207	981	366	721	10	423	202	743	1927	10	309	10	10	10	114	10	253	10	10	10	1551	615	972	10	10	7626	1250	10	1898	6809	1343
