	Tumor__Breast_Adeno_09-B_003A	Tumor__Breast_Adeno_09-B_005A	Tumor__Breast_Adeno_92_I_078	Tumor__Breast_Adeno_93_I_192	Tumor__Breast_Adeno_93_I_250	Tumor__Breast_Adeno_94_I_155	Tumor__Breast_Adeno_94_I_159	Tumor__Breast_Adeno_95_I_029	Tumor__Breast_Adeno_9912c068_CC	Tumor__Breast_Adeno_mBRT1_(8697)	Tumor__Breast_Adeno_mBRT2_(9078)	Tumor__Prostate_Adeno_94_I_052	Tumor__Prostate_Adeno_95_I_249	Tumor__Prostate_Adeno_95_I_256	Tumor__Prostate_Adeno_LocalCaP10T	Tumor__Prostate_Adeno_LocalCaP1T	Tumor__Prostate_Adeno_P_0025	Tumor__Prostate_Adeno_P_0030	Tumor__Prostate_Adeno_P_0033	Tumor__Prostate_Adeno_P_0036	Tumor__Prostate_Adeno_P_0062	Tumor__Lung_Adeno_004_B	Tumor__Lung_Adeno_009_C	Tumor__Lung_Adeno_93_I_146	Tumor__Lung_Adeno_93_I_226	Tumor__Lung_Adeno_94_I_196	Tumor__Lung_Adeno_95_I_117	Tumor__Lung_Adeno_HCTN_LUT1_(18702_A1F)	Tumor__Lung_Adeno_HCTN_LUT4_(18870_A1C)	Tumor__Lung_Adeno_H_20154	Tumor__Lung_Adeno_H_20387	Tumor__Lung_Adeno_LT14	Tumor__Colorectal_Adeno_0001c026_CC	Tumor__Colorectal_Adeno_0001c038_CC	Tumor__Colorectal_Adeno_0001c040_CC	Tumor__Colorectal_Adeno_95_I_057	Tumor__Colorectal_Adeno_95_I_175	Tumor__Colorectal_Adeno_9912c055_CC	Tumor__Colorectal_Adeno_HCTN_19339	Tumor__Colorectal_Adeno_HCTN_19389	Tumor__Colorectal_Adeno_HCTN_CRT1_(18851_A1B)	Tumor__Colorectal_Adeno_mCRT1_(8936)	Tumor__Colorectal_Adeno_mCRT2_(9752)	Tumor__Lymphoma_Follicular_FSCC_S93_11021	Tumor__Lymphoma_Follicular_FSCC_S93_13188	Tumor__Lymphoma_Follicular_FSCC_S93_14386	Tumor__Lymphoma_Follicular_FSCC_S93_20082	Tumor__Lymphoma_Follicular_FSCC_S93_23356	Tumor__Lymphoma_Follicular_FSCC_S98_10416	Tumor__Lymphoma_Follicular_FSCC_S98_11020	Tumor__Lymphoma_Follicular_FSCC_S98_14359	Tumor__Lymphoma_Follicular_FSCC_S98_5894	Tumor__Lymphoma_Follicular_FSCC_S99_5073_1	Tumor__Lymphoma_Follicular_FSCC_S99_9100	Tumor__Lymphoma_Large_B-Cell_L_B_CELL_S93_04233_Y	Tumor__Lymphoma_Large_B-Cell_L_B_CELL_S93_20626_Y	Tumor__Lymphoma_Large_B-Cell_L_B_CELL_S94_17150_R	Tumor__Lymphoma_Large_B-Cell_L_B_CELL_S94_22323_G	Tumor__Lymphoma_Large_B-Cell_L_B_CELL_S94_6696_G	Tumor__Lymphoma_Large_B-Cell_L_B_CELL_S97_27534_G	Tumor__Lymphoma_Large_B-Cell_L_B_CELL_S98_1217_R	Tumor__Lymphoma_Large_B-Cell_L_B_CELL_S98_12453_R	Tumor__Lymphoma_Large_B-Cell_L_B_CELL_S98_12569_R	Tumor__Lymphoma_Large_B-Cell_L_B_CELL_S98_17557_R	Tumor__Lymphoma_Large_B-Cell_L_B_CELL_S98_8825_Y	Tumor__Melanoma_0-9652	Tumor__Melanoma_11337	Tumor__Melanoma_93_I_262	Tumor__Melanoma_94_I_149	Tumor__Melanoma_94_I_191	Tumor__Melanoma_96_I_166	Tumor__Melanoma_MGH_10427	Tumor__Melanoma_MGH_11511	Tumor__Melanoma_MGH_7974	Tumor__Melanoma_MGH_8907	Tumor__Bladder_TCC_07-B_003E	Tumor__Bladder_TCC_104-64931	Tumor__Bladder_TCC_11520	Tumor__Bladder_TCC_94_I_229	Tumor__Bladder_TCC_9858	Tumor__Bladder_TCC_B_0001	Tumor__Bladder_TCC_B_0002	Tumor__Bladder_TCC_B_0003	Tumor__Bladder_TCC_B_0004	Tumor__Bladder_TCC_B_0007	Tumor__Bladder_TCC_B_0008	Tumor__Uterus_Adeno_2552	Tumor__Uterus_Adeno_2967	Tumor__Uterus_Adeno_3226	Tumor__Uterus_Adeno_3663	Tumor__Uterus_Adeno_4075	Tumor__Uterus_Adeno_4203	Tumor__Uterus_Adeno_4840	Tumor__Uterus_Adeno_4915	Tumor__Uterus_Adeno_5116	Tumor__Uterus_Adeno_92_I_073	Tumor__Leukemia_ALL-B_ALL_(14749)_BM	Tumor__Leukemia_ALL-B_ALL_(17281)_BM	Tumor__Leukemia_ALL-B_ALL_(19183)_BM	Tumor__Leukemia_ALL-B_ALL_(19769)_BM	Tumor__Leukemia_ALL-B_ALL_(20414)_BM	Tumor__Leukemia_ALL-B_ALL_(21302)_BM	Tumor__Leukemia_ALL-B_ALL_(23953)_BM	Tumor__Leukemia_ALL-B_ALL_(28373)_BM	Tumor__Leukemia_ALL-B_ALL_(9335)_BM	Tumor__Leukemia_ALL-B_ALL_(9692)_BM	Tumor__Leukemia_ALL-T_ALL(14402)_BM	Tumor__Leukemia_ALL-T_ALL_(16415)_BM	Tumor__Leukemia_ALL-T_ALL_(17269)_BM	Tumor__Leukemia_ALL-T_ALL_(17638)_BM	Tumor__Leukemia_ALL-T_ALL_(19881)_BM	Tumor__Leukemia_ALL-T_ALL_(22474)_BM	Tumor__Leukemia_ALL-T_ALL_(87_52)_BM	Tumor__Leukemia_ALL-T_ALL_(9186)_BM	Tumor__Leukemia_ALL-T_ALL_(92_571)_BM	Tumor__Leukemia_ALL-T_ALL_(9723)_BM	Tumor__Leukemia_AML_AML_(1,PK)_BM	Tumor__Leukemia_AML_AML_(12,PK)_BM	Tumor__Leukemia_AML_AML_(13,PK)_BM	Tumor__Leukemia_AML_AML_(14,PK)_BM	Tumor__Leukemia_AML_AML_(16,PK)_BM	Tumor__Leukemia_AML_AML_(2,PK)_BM	Tumor__Leukemia_AML_AML_(3,PK)_BM	Tumor__Leukemia_AML_AML_(5,PK)_BM	Tumor__Leukemia_AML_AML_(6,PK)_BM	Tumor__Leukemia_AML_AML_(7,PK)_BM	Tumor__Renal_Carcinoma_5291	Tumor__Renal_Carcinoma_5382	Tumor__Renal_Carcinoma_6727	Tumor__Renal_Carcinoma_6775	Tumor__Renal_Carcinoma_92_I_126	Tumor__Renal_Carcinoma_Carc_609TO	Tumor__Renal_Carcinoma_Carc_614TO	Tumor__Renal_Carcinoma_Carc_614TS	Tumor__Renal_Carcinoma_Carc_623TO	Tumor__Renal_Carcinoma_Carc_623TS	Tumor__Renal_Carcinoma_Carc_628TG	Tumor__Pancreas_Adeno_95_I_298_(I)	Tumor__Pancreas_Adeno_97_I_077	Tumor__Pancreas_Adeno_Pan_16T	Tumor__Pancreas_Adeno_Pan_17T	Tumor__Pancreas_Adeno_Pan_1T	Tumor__Pancreas_Adeno_Pan_29T	Tumor__Pancreas_Adeno_Pan_2T	Tumor__Pancreas_Adeno_Pan_3T	Tumor__Pancreas_Adeno_Pan_4T	Tumor__Pancreas_Adeno_Pan_6T	Tumor__Pancreas_Adeno_Pan_7T	Tumor__Ovary_Adeno_0001c086	Tumor__Ovary_Adeno_07-B_001B	Tumor__Ovary_Adeno_07-B_014G	Tumor__Ovary_Adeno_93_I_081	Tumor__Ovary_Adeno_HCTN_0002c011N	Tumor__Ovary_Adeno_HCTN_19120	Tumor__Ovary_Adeno_HCTN_19155	Tumor__Ovary_Adeno_H_(400)6346	Tumor__Ovary_Adeno_H_6206	Tumor__Ovary_Adeno_mOVT1_(8691)	Tumor__Ovary_Adeno_mOVT2_(I)_(9334)	Tumor__Mesothelioma_161_T6	Tumor__Mesothelioma_165_T5	Tumor__Mesothelioma_166_T4	Tumor__Mesothelioma_169_T7	Tumor__Mesothelioma_215_T5	Tumor__Mesothelioma_224_T5	Tumor__Mesothelioma_228_T4	Tumor__Mesothelioma_235_T6	Tumor__Mesothelioma_300_T	Tumor__Mesothelioma_31_T10	Tumor__Mesothelioma_74_T6	Tumor__CNS_Glioblastoma_GlioB_10	Tumor__CNS_Glioblastoma_GlioB_1	Tumor__CNS_Glioblastoma_GlioB_2	Tumor__CNS_Glioblastoma_GlioB_3	Tumor__CNS_Glioblastoma_GlioB_4	Tumor__CNS_Glioblastoma_GlioB_5	Tumor__CNS_Glioblastoma_GlioB_6	Tumor__CNS_Glioblastoma_GlioB_7	Tumor__CNS_Glioblastoma_GlioB_8	Tumor__CNS_Glioblastoma_GlioB_9	Tumor__CNS_Medulloblastoma_M02_D16	Tumor__CNS_Medulloblastoma_M06_D92	Tumor__CNS_Medulloblastoma_M20_A56	Tumor__CNS_Medulloblastoma_M22_A50	Tumor__CNS_Medulloblastoma_M29_A91	Tumor__CNS_Medulloblastoma_M33	Tumor__CNS_Medulloblastoma_M42_A10	Tumor__CNS_Medulloblastoma_M49_A2	Tumor__CNS_Medulloblastoma_M50_D7	Tumor__CNS_Medulloblastoma_M51_D34
	BR	BR	BR	BR	BR	BR	BR	BR	BR	BR	BR	PR	PR	PR	PR	PR	PR	PR	PR	PR	PR	LU	LU	LU	LU	LU	LU	LU	LU	LU	LU	LU	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	CR	LY	LY	LY	LY	LY	LY	LY	LY	LY	LY	LY	LY	LY	LY	LY	LY	LY	LY	LY	LY	LY	LY	ML	ML	ML	ML	ML	ML	ML	ML	ML	ML	BL	BL	BL	BL	BL	BL	BL	BL	BL	BL	BL	UT	UT	UT	UT	UT	UT	UT	UT	UT	UT	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	LE	RE	RE	RE	RE	RE	RE	RE	RE	RE	RE	RE	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	PA	OV	OV	OV	OV	OV	OV	OV	OV	OV	OV	OV	ME	ME	ME	ME	ME	ME	ME	ME	ME	ME	ME	CNS	CNS	CNS	CNS	CNS	CNS	CNS	CNS	CNS	CNS	CNS	CNS	CNS	CNS	CNS	CNS	CNS	CNS	CNS	CNS
AFFX-BioDn-3_at	10	111	73	80	149	10	10	56	87	10	10	138	10	10	10	10	444	247	170	313	148	299	10	54	10	10	10	10	10	10	10	560	90	10	240.5	105	159	91	10	44	10	10	149	308	482	180	456	10	10	10	655	10	10	113	10	10	10	10	10	258	10	10	10	10	10	183	60	18	29	10	14	10	129	111	172	10	10	10	10	10	10	10	10	127	10	10	171	123	266	154	10	145	10	49	18	10	10	10	10	10	290	10	10	10	10	10	10	10	10	10	10	10	57	10	497	10	10	10	10	10	10	10	341	10	10	10	10	10	10	72	23	19	10	10	184	10	10	10	10	10	10	184	219	10	10	349	10	10	33	10	10	10	182	244	161	200	239	10	10	245	10	286	10	10	10	85	10	10	163	240	720	465	10	10	10	10	10	10	10	10	10	10	10	10	10	39	263	10	10	10
AFFX-HUMISGF3A/M97935_MA_at	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	76	10	10	10	10	10	10	10	704	355	696	10	65	10	46	10	10	10	3081	10	10	853	1126	775	3858	10	10	367	1395	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	559	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	49	1852	10	10	10	10	10	10	10	10	10	31	10	31	10	10	10	10	10	10	10	41	10	10	10	10	10	10	10	10	10	10	10	10	152	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	934	404	2924	18	10	10	10	10	10	10	10	10	10	10	10
AFFX-HUMRGE/M10098_M_at	10	10	10	1164	22	10	10	387	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	106	1384	10	10	10	10	10	10	854	10	10	14.4	10	140	397	3097	633	10	104	10	10	4981	10	10	10	1517	417	10	74	87	32	10	10	160	10	10	47	598	10	12	10	550	1027	10	367	216	10	1157	10	10	377	101	10	10	25	150	252	10	10	121	17	10	10	283	64	10	508	300	10	151	400	592	10	6936	10	4997	7723	10	10	1952	2413	7724	984	159	10	10	233	1875	9824	10	3107	10	7076	760	10	1423	10	513	52	10	107	1141	10	10	10	75	409	10	10	10	10	10	10	10	10	244	10	57	2926	34	171	601	517	764	169	174	10	828	10	668	446	10	762	10	259	10	3349	2020	1634	611	280	1083	1121	4580	5503	4358	1875	10	10	1366	10	10	10	10	10	10	10	29	10	10	10	10	10	10	84	10	10
AFFX-HUMTFRR/M11507_M_at	10	10	10	10	10	10	10	10	10	50	10	10	10	10	10	10	10	75	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	12	10	10	10	10	10	10	72	10	29	10	164	10	10	29	591	327	10	364	1084	10	10	195	10	10	75	19	10	10	10	10	10	10	50	10	10	10	10	10	10	10	10	10	10	10	10	10	17	10	10	10	23	10	10	10	20	10	159	10	10	26	10	178	38	93	10	57	10	185	67	10	75	90	10	65	10	10	773	77	333	137	932	1238	329	115	265	653	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	16	10	10	10	10	10	10	10	10	10	10	10	10	10	104	10	10	10	10	10	10	16	10	10	205	92	21	20	105	92	204	91	10	58	10	10	10	10	91	17	10	10	63	63
AFFX-HSAC07/X00351_5_st	10	10	10	10	22	10	10	19	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	21	110	10	10	10	10	10	10	10	10	10	10	98	10	1933	324	10	90	363	10	206	284	198	264	383	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	28	10	10	10	10	10	10	10	132	10	10	12	10	10	43	10	10	10	59	88	10	108	213	106	10	405	10	153	190	10	93	204	10	10	280	121	192	124	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	103	66	10	10	10	10	602	10	10	10	10	10	10	10	28	176	10	10	10	10	143	128	151	10	10	10	232	10	155	10	201	10	226	10	527	1145	45	670	10	10	51	121	124	66
AB000464_at	469.6	10	10	10	10	10	10	10	10	10	10	10	10	10	68	10	420	476	514	208	10	116	109	10	10	10	17	10	10	104	535	10	10	10	138.1	10	10	10	18	10	10	10	10	426	10	10	10	10	233	20	10	10	10	59	10	123	10	10	10	10	10	10	10	10	10	10	23	15	10	10	10	58	42	10	10	10	10	79	10	88	53	146	10	10	10	35	10	10	10	10	10	53	10	61	10	10	10	10	10	10	10	10	10	102	10	10	10	10	10	10	10	10	55	10	10	10	10	10	10	10	10	181	10	10	10	10	54	60	243	10	10	34	332	318	10	10	10	10	28	10	16	62	10	19	10	10	61	10	10	10	10	10	10	10	60	10	10	23	10	10	10	10	10	10	10	10	10	10	10	10	10	56	10	10	10	10	10	412	10	313	10	303	10	10	93	10	10	10	10	10
AB000584_at	10	10	171	37	14	10	112	136	10	10	10	667	41	10	116	566	6031	294	4271	697	10	290	10	540	10	62	10	10	10	148	195	777	73	830	443	1541	488	256	131	10	183	128	157	10	38	10	10	10	143	10	26	10	10	10	127	10	71	39	403	96	10	10	10	10	87	180	100	1044	104	133	107	10	1936	842	19	10	10	10	10	556	10	10	10	1933	10	10	1592	228	919	402	206	434	635	3845	124	10	10	10	10	10	10	10	10	16	80	10	10	10	10	13	10	19	40	10	10	10	10	10	10	10	945	10	10	10	10	68	10	222	255	352	10	10	10	10	219	10	10	10	109	38	10	31	304	33	231	1084	154	10	10	10	10	209	286	2645	10	289	10	10	10	10	181	224	10	10	10	39	330	14	94	10	10	10	102	10	39	10	175	236	10	10	60	131	10	132	69	10	10	10	10	397
AB000895_at	10	92	10	10	10	50	10	10	10	10	10	10	10	10	10	10	220	129	10	10	10	10	10	26	10	41	10	78	10	10	10	10	10	41	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	208	10	10	10	159	10	10	10	10	10	10	10	64	10	10	10	10	10	10	10	10	10	10	10	10	24	176	46	63	10	54	10	1638	10	10	10	10	10	10	2608	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	87	10	10	10	10	10	10	10	10	10	10	10	20	648	10	10	10	21	24	10	23	10	10	10	10	118	34	10	33	10	10	10	10	10	152	10	1417	57	273	10	10	10	14	10	10	10	10	10	10	10	10	38	10	10	10	10	35	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	67	10
AB000896_at	22	10	10	10	10	10	11	10	10	34	10	10	10	10	10	10	54	25	10	10	10	10	10	10	10	10	10	10	10	10	10	106	10	10	10	10	10	32	10	10	10	10	28	18	15	10	32	10	10	10	10	10	10	10	26	10	19	21	256	10	10	15	10	10	40	10	72	10	10	23	10	10	10	11	34	10	10	10	21	54	10	10	10	10	10	10	1427	10	120	10	60	10	396	2059	10	10	10	32	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	78	10	10	10	10	10	10	10	38	10	44	10	38	10	10	10	10	10	10	10	10	72	14	10	144	38	13	10	17	48	10	10	44	10	10	10	10	10	10	10	10	10	10	161	10	10	10	82	10	10	10	73	10	14	10	10	33	10	42	27	10	10	86	92	10	10	149	18	10	10	10	10
