	DLBC1	DLBC2	DLBC3	DLBC4	DLBC5	DLBC6	DLBC7	DLBC8	DLBC9	DLBC10	DLBC11	DLBC12	DLBC13	DLBC14	DLBC15	DLBC16	DLBC17	DLBC18	DLBC19	DLBC20	DLBC21	DLBC22	DLBC23	DLBC24	DLBC25	DLBC26	DLBC27	DLBC28	DLBC29	DLBC30	DLBC31	DLBC32	DLBC33	DLBC34	DLBC35	DLBC36	DLBC37	DLBC38	DLBC39	DLBC40	DLBC41	DLBC42	DLBC43	DLBC44	DLBC45	DLBC46	DLBC47	DLBC48	DLBC49	DLBC50	DLBC51	DLBC52	DLBC53	DLBC54	DLBC55	DLBC56	DLBC57	DLBC58	FSCC17	FSCC3	FSCC14	FSCC11	FSCC8	FSCC16	FSCC15	FSCC5	FSCC10	FSCC12	FSCC4	FSCC13	FSCC7	FSCC18	FSCC6	FSCC19	FSCC2	FSCC9	FSCC1
	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	DLBCL	FL	FL	FL	FL	FL	FL	FL	FL	FL	FL	FL	FL	FL	FL	FL	FL	FL	FL	FL
AFFX-BioB-5_st	10	148	10	172	10	10	10	10	10	90	10	96	10	10	10	323	42	115	135	10	101	10	161	174	10	10	10	10	10	10	368	10	10	234	491	151	10	230	29	10	105	10	10	85	300	1110	10	246	10	10	143	437	245	10	17	10	169	10	10	122	10	10	222	10	10	280	10	120	261	327	162	230	211	10	87	781	10
AFFX-BioDn-5_st	143	251	10	10	125	38	70	10	232	308	282	197	10	348	10	206	10	10	16	10	146	10	10	71	10	10	154	10	144	254	291	110	57	99	538	27	10	230	544	10	10	29	128	109	10	10	10	10	10	10	10	334	34	360	10	117	116	10	10	482	10	159	408	2567	10	10	10	74	10	130	43	87	10	317	10	10	47
AFFX-PheX-3_at	113	10	29	178	67	37	10	10	10	63	10	55	10	239	175	46	166	10	72	20	138	10	72	131	10	102	10	23	38	10	87	10	96	72	330	10	61	10	392	10	52	21	63	59	10	10	288	143	10	100	48	32	83	242	95	106	70	131	51	10	212	10	76	10	148	14	10	169	10	125	47	24	34	97	26	12	58
AFFX-HUMISGF3A/M97935_MA_at	384	10	491	10	10	10	10	10	10	10	10	10	10	1665	448	12	10	10	687	10	141	291	10	648	1023	332	10	148	109	10	284	1075	10	4056	10	2385	56	10	10	359	10	10	10	10	505	1306	81	1410	10	3000	21	10	489	28	4322	240	966	4869	849	10	10	10	10	10	1321	499	174	261	551	209	429	260	10	10	10	10	99
AFFX-HUMRGE/M10098_5_at	21	1780	1452	11801	3296	816	922	24	999	2729	742	1122	187	329	193	10	19	51	83	10	1546	10	99	10	15	10	141	222	297	3678	305	1214	270	10	170	478	121	181	209	72	10	10	10	159	42	10	46	10	10	183	137	10	10	117	10	4961	16000	2633	105	703	3492	4094	10	10	1452	10	4243	215	1889	147	10	10	10	2487	10294	10	371
AFFX-HUMRGE/M10098_M_at	10	254	1272	10003	2997	482	15	175	289	310	732	904	16	18	10	10	173	90	10	10	444	24	73	10	245	10	287	312	10	1905	123	631	115	45	14	77	37	43	10	10	10	10	10	212	210	10	29	10	10	207	10	10	10	10	10	1050	1263	784	10	10	816	909	10	334	320	10	974	138	10	10	10	10	10	325	4488	10	10
AFFX-HUMRGE/M10098_3_at	10	1475	665	1255	2687	1108	434	10	1048	2000	397	1347	99	251	257	244	1355	341	429	10	1051	1258	299	1698	1258	37	520	939	10	2011	10	571	535	296	108	126	10	107	10	10	10	10	10	586	614	10	24	183	10	1093	39	10	10	136	10	1090	2497	1989	10	222	1565	801	10	266	702	10	808	199	606	10	10	10	10	183	3575	10	10
AFFX-HUMTFRR/M11507_M_at	10	10	80	188	10	10	10	10	10	10	10	83	16	10	10	216	10	351	321	10	10	169	10	10	10	10	10	10	10	35	11	10	10	985	10	125	122	16	10	10	108	192	88	15	10	10	10	908	10	800	10	10	10	165	285	11	55	107	49	10	10	10	10	10	30	10	10	86	10	12	10	10	10	10	10	10	10
AFFX-HUMGAPDH/M33197_5_st	386	101	133	10	10	10	10	69	10	10	10	17	10	449	280	326	203	328	269	10	10	315	168	217	311	10	10	408	45	370	377	851	10	506	10	132	10	39	10	52	57	10	118	21	300	10	375	302	10	431	10	50	79	340	262	346	17	606	396	10	10	190	10	10	441	237	190	449	95	235	54	108	10	105	10	10	176
