	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN-"	"ER+/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN+"	"ER+/LN+"	"ER-/LN-"	"ER-/LN-"	"ER +/LN+"	"ER-/LN+"	"ER-/LN-"	"ER-/LN-"	"ER-/LN+"	"ER-/LN+"	"ER+/LN-"	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN+"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER+/LN-"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN+"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"	"ER-/LN-"
	"ER+"	"ER+"	"ER+"	"ER-"	"ER-"	"ER-"	"ER-"	"ER+"	"ER+"	"ER+"	"ER+"	"ER+"	"ER-"	"ER-"	"ER-"	"ER-"	"ER+"	"ER+"	"ER+"	"ER+"	"ER+"	"ER+"	"ER-"	"ER-"	"ER+"	"ER-"	"ER-"	"ER-"	"ER-"	"ER-"	"ER+"	"ER+"	"ER+"	"ER+"	"ER+"	"ER+"	"ER+"	"ER+"	"ER+"	"ER+"	"ER-"	"ER-"	"ER-"	"ER-"	"ER-"	"ER-"	"ER-"	"ER-"	"ER-"
"AB000381_s_at"	15	13	10	10	214	173	10	10	140	10	215	133	10	10	15	10	10	10	906	10	112	28	23	10	10	10	10	63	18	167	102	10	52	10	72	190	97	22	155	10	62	10	41	11	10	10	10	103	40
"AB000462_at"	120	25	204	247	540	211	273	91	327	10	493	867	30	216	10	104	51	107	715	13	10	10	10	149	123	39	75	10	24	10	455	49	35	16	269	785	3511	102	714	510	191	202	568	424	305	153	59	52	118
"AB000584_at"	276	458	442	10	10	46	87	301	10	785	1188	1066	10	10	303	10	10	10	311	426	202	10	10	10	335	10	10	10	249	1744	710	508	827	1690	10	2089	1350	998	345	292	420	304	10	104	302	14	10	10	4522
"AB000895_at"	10	10	10	10	10	10	10	10	188	10	1953	1509	10	10	10	10	10	86	10	10	10	10	10	10	73	10	10	10	10	10	109	223	10	10	154	1255	618	10	170	644	235	10	647	10	10	10	172	10	119
"AB000896_at"	10	10	35	10	480	20	33	10	10	10	231	10	10	135	33	129	10	10	10	30	10	10	10	10	10	76	48	10	10	10	519	255	10	10	103	1872	1015	197	77	360	44	291	329	59	74	251	61	436	59
"AB000897_at"	10	10	10	10	13	10	59	10	10	10	669	211	108	10	30	17	184	26	1147	10	79	34	33	10	10	10	75	10	199	10	539	283	52	10	188	2323	1194	244	150	410	296	359	323	268	207	204	128	251	10
"AB002314_at"	65	120	378	10	311	41	10	16	10	10	1106	5319	90	76	128	10	10	10	15	36	148	10	10	10	10	10	64	10	10	348	358	141	15	10	110	5818	1757	96	99	275	113	175	262	265	745	407	703	146	10
"AB002365_at"	10	289	192	10	10	44	10	58	59	68	594	1521	10	45	10	37	280	10	487	10	119	10	140	58	54	10	152	37	51	10	152	72	140	53	146	107	295	266	90	29	57	83	190	31	17	107	138	56	10
"AB002409_at"	133	10	193	98	136	129	20	10	59	10	10	360	90	10	10	10	66	103	712	106	10	10	175	46	106	212	205	72	21	10	120	37	109	44	108	285	10	67	73	139	10	12	195	202	188	198	135	58	63
"AC000062_at"	10	10	60	65	54	18	10	53	10	10	61	1135	10	10	70	10	177	10	1259	10	10	10	10	10	18	10	10	10	10	10	160	132	10	10	11	207	278	10	10	10	12	47	98	69	21	93	130	10	16
"AC000066_at"	25	10	26	58	201	10	10	10	50	10	567	635	10	43	10	10	10	16	10	10	10	10	12	18	10	25	10	101	111	10	149	186	10	10	20	361	280	28	34	10	10	46	27	96	69	69	83	97	10
"AC000115_cds1_at"	10	10	10	10	10	713	10	10	10	41	10	10	159	405	10	10	10	10	124	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	1155	359	127	303	10	65	476	10
"AD000092_cds2_at"	93	397	314	10	10	105	140	66	10	10	10	10	492	10	10	10	10	10	10	10	10	153	10	10	10	92	10	10	10	1078	10	111	658	10	10	10	10	138	802	29	10	116	55	38	10	10	10	547	10
"AD000092_cds7_s_at"	309	254	623	391	10	10	10	362	210	84	6289	10272	10	10	10	440	10	10	10	10	10	286	2129	10	52	231	107	10	427	10	111	51	124	555	10	10	719	507	10	360	10	1045	183	10	132	10	382	223	211
"AF000234_at"	385	228	1073	53	10	10	10	10	65	103	10	10	10	10	10	20	10	104	97	22	10	58	188	10	109	10	10	10	408	37	10	121	51	268	86	10	10	39	118	229	10	10	10	18	10	10	10	10	63
